# 国家地名信息库·极地地名
# https://dmfw.mca.gov.cn/polar.html
#
# 中文名称	国际通用名	实体类型

仙女峰	Xiannü Feng	Peak
仙女河	Xiannü He	River
仙水溪	Xianshui Xi	Stream
仙桃湖	Xiantao Hu	Lake
仙桃岭	Xiantao Ling	Hill
仙翁河	Xianweng He	River
仙翁湾	Xianweng Wan	Bay
仙霞岭	Xianxia Ling	Ridge
小湖	Xiao Hu	Lake
小长湖	Xiaochang Hu	Lake
小龟山	Xiaogui Shan	Hill
小鬼见愁崖	Xiaoguijianchou Ya	Cliff
小天池	Xiaotian Chi	Pool
小天山	Xiaotian Shan	Hill
小巫峡	Xiaowu Xia	Narrows
小武当山	Xiaowudang Shan	Hill
小武夷山	Xiaowuyi Shan	Hill
小西天角	Xiaoxitian Jiao	Point
小西天山	Xiaoxitian Shan	Hill
西北平台	Xibei Pingtai	Platform
西北台地	Xibei Taidi	Mesa
西北栈桥半岛	Xibeizhanqiao Bandao	Peninsula
西长白山	Xichangbai Shan	Hill
西堤碎石带	Xidi Suishidai	Rocks
协和半岛	Xiehe Bandao	Peninsula
西丽湖	Xili Hu	Lake
星湖	Xing Hu	Lake
兴安岭	Xing'an Ling	Ridge
幸福湾	Xingfu Wan	Cove
星湖台地	Xinghu Taidi	Upland
兄弟山	Xiongdi Shan	Hill
熊猫岛	Xiongmao Dao	Island
熊猫码头	Xiongmao Matou	Wharf
西平湖	Xiping Hu	Lake
西平台	Xiping Tai	Hill
西沙群岛	Xisha Qundao	Islands
西施河	Xishi He	River
西施角	Xishi Jiao	Point
西太平山	Xitaiping Shan	Hill
希望湾	Xiwang Wan	Cove
雪池	Xue Chi	Pool
雪贞山	Xuezhen Shan	Hill
燕儿岛	Yan'er Dao	Island
燕鸥湖	Yan'ou Hu	Lake
雁荡山	Yandang Shan	Hill
羊趾湖	Yangzhi Hu	Lake
炎黄大坡	Yanhuang Dapo	Slope
炎黄雪地	Yanhuang Xuedi	Snowland
眼镜湖	Yanjing Hu	Lake
岩块山	Yankuai Shan	Hill
岩石湾	Yanshi Wan	Cove
一号露岩	Yihao Luyan	Rock
迎宾岛	Yingbin Dao	Island
鹰头峰	Yingtou Feng	Peak
鹦鹉岛	Yingwu Dao	Island
友好峰	Youhao Feng	Peak
友谊峰	Youyi Feng	Peak
友谊山	Youyi Shan	Hill
鸳鸯群岛	Yuanyang Qundao	Islands
玉帝山	Yudi Shan	Hill
月亮湖	Yueliang Hu	Lake
月亮山	Yueliang Shan	Hill
月牙湖	Yueya Hu	Lake
云台山	Yuntai Shan	Hill
云雾山	Yunwu Shan	Hill
玉泉河	Yuquan He	River
玉兔湖	Yutu Hu	Lake
玉珍湖	Yuzhen Hu	Lake
