# 2023全国统计用区划代码和城乡划分代码（区县）
# ~~https://www.stats.gov.cn/sj/tjbz/tjyqhdmhcxhfdm/2023/index.html~~
#
# 名称	级别	代码

喀喇沁旗	区级	150428000000
宁城县	区级	150429000000
敖汉旗	区级	150430000000
通辽市	市级	150500000000
市辖区	区级	150501000000
科尔沁区	区级	150502000000
科尔沁左翼中旗	区级	150521000000
科尔沁左翼后旗	区级	150522000000
开鲁县	区级	150523000000
库伦旗	区级	150524000000
奈曼旗	区级	150525000000
扎鲁特旗	区级	150526000000
通辽经济技术开发区	区级	150571000000
霍林郭勒市	区级	150581000000
鄂尔多斯市	市级	150600000000
市辖区	区级	150601000000
东胜区	区级	150602000000
康巴什区	区级	150603000000
达拉特旗	区级	150621000000
准格尔旗	区级	150622000000
鄂托克前旗	区级	150623000000
鄂托克旗	区级	150624000000
杭锦旗	区级	150625000000
乌审旗	区级	150626000000
伊金霍洛旗	区级	150627000000
呼伦贝尔市	市级	150700000000
市辖区	区级	150701000000
海拉尔区	区级	150702000000
扎赉诺尔区	区级	150703000000
阿荣旗	区级	150721000000
莫力达瓦达斡尔族自治旗	区级	150722000000
鄂伦春自治旗	区级	150723000000
鄂温克族自治旗	区级	150724000000
陈巴尔虎旗	区级	150725000000
新巴尔虎左旗	区级	150726000000
新巴尔虎右旗	区级	150727000000
满洲里市	区级	150781000000
牙克石市	区级	150782000000
扎兰屯市	区级	150783000000
额尔古纳市	区级	150784000000
根河市	区级	150785000000
巴彦淖尔市	市级	150800000000
市辖区	区级	150801000000
临河区	区级	150802000000
五原县	区级	150821000000
磴口县	区级	150822000000
乌拉特前旗	区级	150823000000
乌拉特中旗	区级	150824000000
乌拉特后旗	区级	150825000000
杭锦后旗	区级	150826000000
乌兰察布市	市级	150900000000
市辖区	区级	150901000000
集宁区	区级	150902000000
卓资县	区级	150921000000
化德县	区级	150922000000
商都县	区级	150923000000
兴和县	区级	150924000000
凉城县	区级	150925000000
察哈尔右翼前旗	区级	150926000000
察哈尔右翼中旗	区级	150927000000
察哈尔右翼后旗	区级	150928000000
四子王旗	区级	150929000000
丰镇市	区级	150981000000
兴安盟	市级	152200000000
乌兰浩特市	区级	152201000000
阿尔山市	区级	152202000000
科尔沁右翼前旗	区级	152221000000
科尔沁右翼中旗	区级	152222000000
扎赉特旗	区级	152223000000
突泉县	区级	152224000000
锡林郭勒盟	市级	152500000000
二连浩特市	区级	152501000000
锡林浩特市	区级	152502000000
阿巴嘎旗	区级	152522000000
苏尼特左旗	区级	152523000000
苏尼特右旗	区级	152524000000
东乌珠穆沁旗	区级	152525000000
西乌珠穆沁旗	区级	152526000000
太仆寺旗	区级	152527000000
镶黄旗	区级	152528000000
正镶白旗	区级	152529000000
正蓝旗	区级	152530000000
多伦县	区级	152531000000
乌拉盖管理区管委会	区级	152571000000
阿拉善盟	市级	152900000000
阿拉善左旗	区级	152921000000
阿拉善右旗	区级	152922000000
额济纳旗	区级	152923000000
内蒙古阿拉善高新技术产业开发区	区级	152971000000
辽宁省	省/直辖市	210000000000
沈阳市	市级	210100000000
市辖区	区级	210101000000
和平区	区级	210102000000
沈河区	区级	210103000000
大东区	区级	210104000000
皇姑区	区级	210105000000
铁西区	区级	210106000000
苏家屯区	区级	210111000000
浑南区	区级	210112000000
沈北新区	区级	210113000000
于洪区	区级	210114000000
辽中区	区级	210115000000
康平县	区级	210123000000
法库县	区级	210124000000
新民市	区级	210181000000
大连市	市级	210200000000
市辖区	区级	210201000000
中山区	区级	210202000000
西岗区	区级	210203000000
沙河口区	区级	210204000000
甘井子区	区级	210211000000
旅顺口区	区级	210212000000
金州区	区级	210213000000
普兰店区	区级	210214000000
长海县	区级	210224000000
瓦房店市	区级	210281000000
庄河市	区级	210283000000
鞍山市	市级	210300000000
市辖区	区级	210301000000
铁东区	区级	210302000000
铁西区	区级	210303000000
立山区	区级	210304000000
千山区	区级	210311000000
台安县	区级	210321000000
岫岩满族自治县	区级	210323000000
海城市	区级	210381000000
抚顺市	市级	210400000000
市辖区	区级	210401000000
新抚区	区级	210402000000
东洲区	区级	210403000000
望花区	区级	210404000000
顺城区	区级	210411000000
抚顺县	区级	210421000000
新宾满族自治县	区级	210422000000
清原满族自治县	区级	210423000000
本溪市	市级	210500000000
市辖区	区级	210501000000
平山区	区级	210502000000
溪湖区	区级	210503000000
明山区	区级	210504000000
南芬区	区级	210505000000
本溪满族自治县	区级	210521000000
桓仁满族自治县	区级	210522000000
丹东市	市级	210600000000
市辖区	区级	210601000000
元宝区	区级	210602000000
振兴区	区级	210603000000
振安区	区级	210604000000
宽甸满族自治县	区级	210624000000
东港市	区级	210681000000
凤城市	区级	210682000000
锦州市	市级	210700000000
市辖区	区级	210701000000
古塔区	区级	210702000000
凌河区	区级	210703000000
太和区	区级	210711000000
黑山县	区级	210726000000
义县	区级	210727000000
凌海市	区级	210781000000
北镇市	区级	210782000000
营口市	市级	210800000000
市辖区	区级	210801000000
站前区	区级	210802000000
西市区	区级	210803000000
鲅鱼圈区	区级	210804000000
老边区	区级	210811000000
盖州市	区级	210881000000
大石桥市	区级	210882000000
阜新市	市级	210900000000
市辖区	区级	210901000000
海州区	区级	210902000000
新邱区	区级	210903000000
太平区	区级	210904000000
清河门区	区级	210905000000
细河区	区级	210911000000
阜新蒙古族自治县	区级	210921000000
彰武县	区级	210922000000
辽阳市	市级	211000000000
市辖区	区级	211001000000
白塔区	区级	211002000000
文圣区	区级	211003000000
宏伟区	区级	211004000000
弓长岭区	区级	211005000000
太子河区	区级	211011000000
辽阳县	区级	211021000000
灯塔市	区级	211081000000
盘锦市	市级	211100000000
市辖区	区级	211101000000
双台子区	区级	211102000000
兴隆台区	区级	211103000000
大洼区	区级	211104000000
盘山县	区级	211122000000
铁岭市	市级	211200000000
市辖区	区级	211201000000
银州区	区级	211202000000
清河区	区级	211204000000
铁岭县	区级	211221000000
西丰县	区级	211223000000
昌图县	区级	211224000000
调兵山市	区级	211281000000
开原市	区级	211282000000
朝阳市	市级	211300000000
市辖区	区级	211301000000
双塔区	区级	211302000000
龙城区	区级	211303000000
朝阳县	区级	211321000000
建平县	区级	211322000000
喀喇沁左翼蒙古族自治县	区级	211324000000
北票市	区级	211381000000
凌源市	区级	211382000000
葫芦岛市	市级	211400000000
市辖区	区级	211401000000
连山区	区级	211402000000
龙港区	区级	211403000000
南票区	区级	211404000000
绥中县	区级	211421000000
建昌县	区级	211422000000
兴城市	区级	211481000000
吉林省	省/直辖市	220000000000
长春市	市级	220100000000
市辖区	区级	220101000000
南关区	区级	220102000000
宽城区	区级	220103000000
朝阳区	区级	220104000000
二道区	区级	220105000000
绿园区	区级	220106000000
双阳区	区级	220112000000
九台区	区级	220113000000
农安县	区级	220122000000
长春经济技术开发区	区级	220171000000
长春净月高新技术产业开发区	区级	220172000000
长春高新技术产业开发区	区级	220173000000
长春汽车经济技术开发区	区级	220174000000
榆树市	区级	220182000000
德惠市	区级	220183000000
公主岭市	区级	220184000000
吉林市	市级	220200000000
市辖区	区级	220201000000
昌邑区	区级	220202000000
龙潭区	区级	220203000000
船营区	区级	220204000000
丰满区	区级	220211000000
永吉县	区级	220221000000
吉林经济开发区	区级	220271000000
吉林高新技术产业开发区	区级	220272000000
吉林中国新加坡食品区	区级	220273000000
蛟河市	区级	220281000000
桦甸市	区级	220282000000
舒兰市	区级	220283000000
磐石市	区级	220284000000
四平市	市级	220300000000
市辖区	区级	220301000000
铁西区	区级	220302000000
铁东区	区级	220303000000
梨树县	区级	220322000000
伊通满族自治县	区级	220323000000
双辽市	区级	220382000000
辽源市	市级	220400000000
市辖区	区级	220401000000
龙山区	区级	220402000000
西安区	区级	220403000000
东丰县	区级	220421000000
东辽县	区级	220422000000
通化市	市级	220500000000
市辖区	区级	220501000000
东昌区	区级	220502000000
二道江区	区级	220503000000
通化县	区级	220521000000
辉南县	区级	220523000000
柳河县	区级	220524000000
梅河口市	区级	220581000000
集安市	区级	220582000000
白山市	市级	220600000000
市辖区	区级	220601000000
浑江区	区级	220602000000
江源区	区级	220605000000
抚松县	区级	220621000000
靖宇县	区级	220622000000
长白朝鲜族自治县	区级	220623000000
临江市	区级	220681000000
松原市	市级	220700000000
市辖区	区级	220701000000
宁江区	区级	220702000000
前郭尔罗斯蒙古族自治县	区级	220721000000
长岭县	区级	220722000000
