# 国家地名信息库·外国地名
# https://dmfw.mca.gov.cn/foreign.html
#
# 删除：
# 凡以此词居首的柬埔寨地名，概从Kâmpóng一栏检索。 Kompong，
#
# chineseName	countries	foreignName	romanAlphabet

（派恩斯岛）库尼耶岛	新喀里多尼亚（法）		(Pines, I. des) Kunié
三王群岛	新西兰		Three Kings Is.
上哈特	新西兰		Upper Hutt
下哈特	新西兰		Lower Hutt
东岸湾	新西兰		East Coast Bays
东岸统计区	新西兰		East Coast Statistical Area
东角	新西兰		East C.
东部群岛	新西兰		Eastern Grp.
中奥克兰统计（地区）	新西兰		Central Auckland Statistical Area
中峡湾	新西兰		Middle Fiord
丹尼弗克	新西兰		Dannevirke
丹尼斯顿	新西兰		Denniston
乌蒂库	新西兰		Utiku
乌雷努伊	新西兰		Urenui
乌雷韦拉（地区）	新西兰		Urewera
乌鲁蒂	新西兰		Uruti
乔基湾	新西兰		Chalky Inlet
五指半岛	新西兰		Five Fingers Pen.
亚历山德拉	新西兰		Alexandra
亚当斯山	新西兰		Adams, Mt.
亨利	新西兰		Henley
亨恃丘陵	新西兰		Hunter’s Hills, The
亨特维尔	新西兰		Hunterville
伊卡马图阿	新西兰		Ikamatua
伊斯特本	新西兰		Eastbourne
伊登代尔	新西兰		Edendale
伊迪韦尔	新西兰		Edievale
伍德维尔	新西兰		Woodville
伍德赛德	新西兰		Woodside
伍登德	新西兰		Woodend
伦威克	新西兰		Renwick
伯奇希尔	新西兰		Birch Hill
伯恩布雷	新西兰		Burnbrae
佩托尼	新西兰		Petone
佩格瑟斯港	新西兰		Port Pegasus
佩格瑟斯湾	新西兰		Pegasus B.
兄弟群岛	新西兰		Brothers, The
克伦威尔	新西兰		Cromwell
克利尔本	新西兰		Clearburn
克卢萨河	新西兰		Clutha R.
克赖斯特彻奇	新西兰		Christchureh
克雷吉本	新西兰		Craigieburn
克马德克群岛	新西兰		Kermadec Is.
内克半岛	新西兰		Neck, The
内斯比	新西兰		Na eby
内瑟顿	新西兰		Netherton
内皮尔	新西兰		Napier
凯凯伦乌	新西兰		Kekerengu
凯厄波伊	新西兰		Kaiapoi
凯坦加塔	新西兰		Kaitangata
凯塔亚	新西兰		Kaitaia
凯塔瓦	新西兰		Kaitawa
凯夫	新西兰		Cave
凯奥	新西兰		Kaeo
凯尔索	新西兰		Kelso
凯库拉	新西兰		Kaikoura
凯库拉岭	新西兰		Kaikoura Ra.
凯本	新西兰		Kyeburn
凯特里特里	新西兰		Kaiteriteri
凯瓦卡	新西兰		Kaiwaka
凯英厄罗阿高地	新西兰		Kaingaroa Plat.
凯雷佩希	新西兰		Kerepehi
凯马塔	新西兰		Kaimata
凯马纳瓦山	新西兰		Kaimanawa Mts.
切特伍德群岛	新西兰		Chetwode Is.
切维厄特	新西兰		Cheviot
利	新西兰		Leigh
利斯菲尔德	新西兰		Leithfield
利斯顿	新西兰		Leeston
利比格岭	新西兰		Liebig Ra.
利特尔顿	新西兰		Lyttelton
加勒蒂亚	新西兰		Galatea
劳伦斯	新西兰		Lawrence
劳里穆	新西兰		Raurimu
勒文	新西兰		Levin
北塔拉纳基湾	新西兰		North Taranaki Bight
北岛	新西兰		North I.
北角	新西兰		North C.
北部统计区	新西兰		Northland Statistical Area
半月湾	新西兰		Half Moon B.
南奥克兰—普伦蒂湾统计区	新西兰		South Auckland-Bay of Plenty Statistical Area
南湾	新西兰		South Fd.
南部统计区	新西兰		Southland Statistical Area
南雷德角	新西兰		South Red Head Pt.
博蒙特	新西兰		Beaumont
卡卡努伊	新西兰		Kakanui
卡卡塔希	新西兰		Kakatahi
卡卡希	新西兰		Kakahi
卡卡拉米亚	新西兰		Kakaramea
卡哈罗阿山	新西兰		Kaharoa
卡尔弗登	新西兰		Culverden
卡尼里	新西兰		Kaniere
卡庞加	新西兰		Kaponga
卡德罗纳	新西兰		Cardrona
卡拉皮罗	新西兰		Karapiro
卡拉米亚	新西兰		Karamea
卡斯尔波因特	新西兰		Castlepoint
卡斯特	新西兰		Cust
卡朗阿鲁阿河	新西兰		Karangarua R.
卡沃岛	新西兰		Kawau I.
卡特顿	新西兰		Carterton
卡瓦利群岛	新西兰		Cavalli Is.
卡瓦卡瓦	新西兰		Kawakawa
卡皮蒂岛	新西兰		Kapiti I.
卡莫	新西兰		Kamo
卡菲亚	新西兰		Kawhia
卡蒂卡蒂	新西兰		Katikati
卡里卡里角	新西兰		Karikari, C.
卡里塔尼	新西兰		Karitane
卡韦劳	新西兰		Kawerau
卡韦卡山	新西兰		Kaweka, Mt.
厄恩斯洛山	新西兰		Earnslaw, Mt.
古德伍德	新西兰		Goodwood
史蒂文斯山	新西兰		Stevents Mt.
吉斯伯恩	新西兰		Gisborne
吉莱斯皮角	新西兰		Gillespie Pt.
哈卡塔拉米亚	新西兰		Hakataramea
哈图马	新西兰		Hatuma
哈威亚湖	新西兰		Hawea, L.
哈尔科姆	新西兰		Halcombe
哈德洛	新西兰		Hadlow
哈斯特	新西兰		Haast
哈普库	新西兰		Hapuku
哈迪港	新西兰		Port Hardy
哈里哈里	新西兰		Harihari
哈韦拉	新西兰		Hawera
唐伊莫阿纳	新西兰		Tangimoana
唐奥瓦希尼	新西兰		Tangowahine
唐纳利斯克罗辛	新西兰		Donnelly’s Crossing
因弗卡吉尔	新西兰		Invercargill
图塔莫伊岭	新西兰		Tutamoe Ra.
图拉基纳	新西兰		Turakina
图拉基赖角	新西兰		Turakirae Hd.
图蒂拉湖	新西兰		Tutira L.
图阿佩卡茅斯	新西兰		Tuapeka Mouth
图阿希尼角	新西兰		Tuahine Pt.
图阿考	新西兰		Tuakau
图阿马里纳	新西兰		Tuamarina
圣伯纳德山	新西兰		St. Bernard, Mt.
圣奥默	新西兰		St. Omer
圣阿诺	新西兰		St. Arnaud
坎布里恩斯	新西兰		Cambrians
坎特伯雷平原	新西兰		Canterbury Plain
坎特伯雷湾	新西兰		Canterbury B.
坎特伯雷统计区	新西兰		Canterbury Statistical Area
坎瓦斯敦	新西兰		Canvastown
坎贝尔角	新西兰		Campbell, C.
埃克塔胡纳	新西兰		Eketahuna
埃勒里湖	新西兰		Ellery, L.
埃奇克姆	新西兰		Edgecumbe
埃尔斯米尔湖	新西兰		Ellesmere, L.
埃尔斯索普	新西兰		Elsthorpe
埃斯克代尔	新西兰		Eskdale
埃格蒙特峰	新西兰		Egmont, Mt.
埃达湖	新西兰		Ada, L.
埃鲁阿	新西兰		Erua
基希基希	新西兰		Kihikihi
基德纳珀斯角	新西兰		Kidnappers, C.
基维	新西兰		Kiwi
基里帕	新西兰		Kiripa
基里科普尼	新西兰		Kirikopuni
塔卡保	新西兰		Takapau
塔卡图角	新西兰		Takatu Pt.
塔卡普纳	新西兰		Takapuna
塔哈科帕	新西兰		Tahakopa
塔基蒂莫山	新西兰		Takitimo Mts.
塔塔拉山	新西兰		Tatara, Mt.
塔尼阿图阿	新西兰		Taneatua
塔希基	新西兰		Taheke
塔帕努伊	新西兰		Tapanui
塔帕韦拉	新西兰		Tapawera
塔惠蒂拉希岛	新西兰		Tawhiti Rahi
塔拉代尔	新西兰		Taradale
塔拉波努伊山	新西兰		Taraponui, Mt.
塔拉科希	新西兰		Tarakohe
塔拉纳基统计区	新西兰		Taranaki Statistical Area
塔拉韦拉	新西兰		Tarawera
塔拉韦拉火山	新西兰		Tarawera, Mt.
塔拉马考河	新西兰		Taramakau R.
塔拉鲁阿岭	新西兰		Tararua Ra.
塔斯曼山	新西兰		Tasman Mts.
塔斯曼湾	新西兰		Tasman B.
塔普	新西兰		Tapu
塔普艾努库山	新西兰		Tapuaenuku, Mt.
塔朗阿岛	新西兰		Taranga I.
塔瓦	新西兰		Tawa
塔科湾	新西兰		Takou B.
塔胡纳	新西兰		Tahuna
塔里基	新西兰		Tariki
塔霍赖蒂	新西兰		Tahoraiti
塞克勒特里岛	新西兰		Secretary I.
塞夫顿	新西兰		Sefton
塞夫顿山	新西兰		Sefton, Mt.
塞登	新西兰		Seddon
塞登维尔	新西兰		Seddonville
夏洛特皇后湾	新西兰		Queen Charlotte Sd.
多伊尔斯顿	新西兰		Doyleston
多米特	新西兰		Domett
大南角岛	新西兰		Big South Cape I.
大埃克西比申湾	新西兰		Great Exhibition B.
大巴里尔岛	新西兰		Great Barrier I.
大默丘里岛	新西兰		Great Mercury I.
奈特卡普斯	新西兰		Nightcaps
奥伦吉山	新西兰		Aorangi Mts.
奥克兰	新西兰		Auckland
奥克利	新西兰		Oakleigh
奥凯豪	新西兰		Okaihau
奥卡胡库拉	新西兰		Okahukura
奥塔基	新西兰		Otaki
奥塔戈港	新西兰		Otago Harb.
奥塔戈统计区	新西兰		Otago Statistical Area
奥塔胡胡	新西兰		Otahuhu
奥富尔山	新西兰		Awful, Mt.
奥尔德曼群岛	新西兰		Alderman, The
奥彭湾群岛	新西兰		Open Bay Is.
奥托罗杭阿	新西兰		Otorohanga
奥拉威亚	新西兰		Orawia
奥普纳基	新西兰		Opunake
奥普阿	新西兰		Opua
奥本	新西兰		Oban
奥波蒂基	新西兰		Opotiki
奥特亚港	新西兰		Aotea Harb.
奥罗阿河	新西兰		Oroua R.
奥胡拉	新西兰		Ohura
奥蒂拉	新西兰		Otira
奥蒙德	新西兰		Ormond
奥豪	新西兰		Ohau
奥豪湖	新西兰		Ohau, L.
奥阿库尼	新西兰		Ohakune
奥陶陶	新西兰		Otautau
奥雷普基	新西兰		Orepuki
奥雷蒂河	新西兰		Oreti R.
奥雷里河	新西兰		Aorere R.
奥马鲁	新西兰		Oamaru
威尔伯福斯河	新西兰		Wilberforce R.
威尔莫特山口	新西兰		Wilmot P.
威尔莫特湖	新西兰		Wilmot, L.
威罗阿岛	新西兰		Wiroa I.
孟买	新西兰		Bombay
安伯利	新西兰		Amberley
安克岛	新西兰		Anchor I.
安布雷拉山	新西兰		Umbrella Mts.
富兰克林山	新西兰		Franklin Mts.
尤纳山	新西兰		Una, Mt.
尤赖厄山	新西兰		Uriah, Mt.
尼亚加拉	新西兰		Niagara
尼姆罗德山	新西兰		Nimrod, Mt.
尼德尔斯峰	新西兰		Needles Pt.
尼科尔森港	新西兰		Port Nicholson
居维叶岛	新西兰		Cuvier I.
巴尔克卢萨	新西兰		Balclutha
巴尔凯恩	新西兰		Balcairn
巴灵角	新西兰		Baring Hd.
巴罗米特山	新西兰		Barometer
巴里尔角	新西兰		Barrier, C.
布伦纳	新西兰		Brunner
布勒河	新西兰		Buller R.
布尔斯	新西兰		Bulls
布罗德伍德	新西兰		Broadwood
布罗德贝	新西兰		Broad Bay
布莱尼姆	新西兰		Blenheim
布赖特沃特	新西兰		Brightwater
布赖登	新西兰		Brydone
布雷克西湾	新西兰		Breaksea Sd.
布雷克西群岛	新西兰		Breaksea Is.
布鲁斯特山	新西兰		Brewster, Mt.
布鲁斯贝	新西兰		Bruce Bay
希希塔希	新西兰		Hihitahi
希库塔亚	新西兰		Hikutaia
希库朗伊	新西兰		Hikurangi
希库朗伊山	新西兰		Hikurangi, Mt.
希库艾	新西兰		Hikuai
希纳库拉	新西兰		Hinakura
希马唐伊	新西兰		Himatangi
帕利瑟湾	新西兰		Palliser B.
帕帕努伊湾	新西兰		Papanui Inlet
帕帕库拉	新西兰		Papakura
帕帕托伊托伊	新西兰		Papatoetoe
帕帕罗阿	新西兰		Paparoa
帕帕罗阿岭	新西兰		Paparoa Ra.
帕托卡	新西兰		Patoka
帕拉	新西兰		Para
帕拉代斯	新西兰		Paradise
帕拉帕拉乌穆	新西兰		Paraparaumu
帕纳瑟斯	新西兰		Parnassus
帕蒂亚	新西兰		Patea
帕默斯顿	新西兰		Palmerston
平纳克尔山	新西兰		Pinnacle, Mt.
库克峰	新西兰		Cook, Mt.
库克海峡	新西兰		Cook Str.
库劳	新西兰		Kurow
库塔里里	新西兰		Kutarere
库珀岛	新西兰		Cooper I.
库里帕庞奥	新西兰		Kuripapango
库马拉	新西兰		Kumara
庞加罗阿	新西兰		Pongaroa
廷德尔山	新西兰		Tyndall, Mt.
廷沃尔德	新西兰		Tinwald
廷莱恩山	新西兰		Tinline, Mt.
弗伦奇海峡	新西兰		French Pass.
弗兰克顿	新西兰		Frankton
弗吉尼亚	新西兰		Virginia
弗拉特山	新西兰		Flat Mt.
弗雷泽敦	新西兰		Frasertown
弗鲁特兰兹	新西兰		Fruitlands
德鲁里	新西兰		Drury
怀乌塔	新西兰		Waiuta
怀乌库	新西兰		Waiuku
怀凯阿	新西兰		Waikaia
怀凯阿河	新西兰		Waikaia R.
怀劳瓦利	新西兰		Wairau Valley
怀华	新西兰		Waihua
怀卡卡	新西兰		Waikaka
怀卡奈	新西兰		Waikanae
怀卡托河	新西兰		Waikato R.
怀卡瓦	新西兰		Waikawa
怀卡里	新西兰		Waikari
怀卡雷湖	新西兰		Waikare L.
怀卡雷莫阿纳湖	新西兰		Waikaremoana, L.
怀卡雷蒂湖	新西兰		Waikareiti, L.
怀厄尼瓦	新西兰		Waianiwa
怀厄托托河	新西兰		Waiatoto R.
怀厄纳卡鲁阿	新西兰		Waianakarua
怀哈拉拉	新西兰		Waiharara
怀唐伊	新西兰		Waitangi
怀塔哈努伊	新西兰		Waitahanui
怀塔基湖	新西兰		Waitaki L.
怀奥	新西兰		Waiau
怀奥河	新西兰		Waiau R.
怀希	新西兰		Waihi
怀希基岛	新西兰		Waiheke I.
怀帕希	新西兰		Waipahi
怀帕帕角	新西兰		Waipapa Pt.
怀帕拉	新西兰		Waipara
怀帕河	新西兰		Waipa R.
怀帕瓦	新西兰		Waipawa
怀托塔拉河	新西兰		Waitotara R.
怀拉拉帕湖	新西兰		Wairarapa, L.
怀普库劳	新西兰		Waipukurau
怀波里湖	新西兰		Waipori, L.
怀特岛	新西兰		White I.
怀特马塔港	新西兰		Waitemata Harb.
怀皮罗贝	新西兰		Waipiro Bay
怀科胡	新西兰		Waikohu
怀科艾蒂	新西兰		Waikouaiti
怀罗阿	新西兰		Wairoa
怀罗阿河	新西兰		Wairoa R.
怀豪福克斯	新西兰		Waihao Forks
怀里奥	新西兰		Wairio
怀霍	新西兰		Waihou
怀霍拉	新西兰		Waihola
怀霍河	新西兰		Waiho R.
怀霍波	新西兰		Waihopo
怀霍阿卡	新西兰		Waihoaka
惠灵顿	新西兰		Wellington
惠灵顿统计区	新西兰		Wellington Statistical Area
惠特比	新西兰		Whitby
惠特科姆山口	新西兰		Whitcombe P.
戈尔	新西兰		Gore
戈尔登湾	新西兰		Golden B.
戈德利冰川	新西兰		Godley Gl.
托伊托伊斯湾	新西兰		Toetoes B.
托卡努伊	新西兰		Tokanui
托卡托卡	新西兰		Tokatoka
托塔拉努伊	新西兰		Totaranui
托怀	新西兰		Towai
托拉加湾	新西兰		Tolaga B.
托温角	新西兰		Towing Hd.
托科	新西兰		Toko
托科罗阿	新西兰		Tokoroa
托科马鲁	新西兰		Tokomaru
托马斯山	新西兰		Thomas, Mt.
托马霍克潟湖	新西兰		Tomahawk L.
扬岭	新西兰		Young Ra.
拉乌尔岛	新西兰		Raoul I.
拉凯阿	新西兰		Rakaia
拉塞尔	新西兰		Russell
拉姆斯登	新西兰		Lumsden
拉威尼	新西兰		Rawene
拉格伦	新西兰		Raglan
拉格伦岭	新西兰		Raglan Ra.
拉盖特	新西兰		Luggate
斯利珀岛	新西兰		Slipper I.
斯卡吉尔	新西兰		Scargill
斯图尔特山	新西兰		Stuart Mts.
斯图尔特岛	新西兰		Stewart I.
斯塔德霍姆章克申	新西兰		Studholme Junction
斯托克	新西兰		Stoke
斯托克斯山	新西兰		Stokes, Mt.
斯托克斯角	新西兰		Stokes Pt.
斯托克顿	新西兰		Stockton
斯普林斯顿	新西兰		Springston
斯普林本	新西兰		Springburn
斯普林菲尔德	新西兰		Springfield
斯潘塞山	新西兰		Spenser Mts.
斯特灵	新西兰		Stirling
斯蒂芬森岛	新西兰		Stephenson I.
新普利茅斯	新西兰		New Plymouth
旺斯特德	新西兰		Wanstead
旺阿伊胡	新西兰		Whangaehu
旺阿努伊	新西兰		Wanganui
旺阿努伊湾	新西兰		Whanganui Inlet
旺阿帕劳阿半岛	新西兰		Whangaparaoa Pen.
旺阿皮	新西兰		Whangape
旺阿皮港	新西兰		Whangape Harb.
旺阿皮湖	新西兰		Whangape L.
旺阿莫莫纳	新西兰		Whangamomona
旺阿雷	新西兰		Whangarei
旺阿马塔	新西兰		Whangamata
旺阿鲁鲁港	新西兰		Whangaruru Harb.
普伦蒂湾	新西兰		Plenty, B. of
普基科希	新西兰		Pukekohe
普尔奈茨群岛	新西兰		Poor Knights Is.
普罗维登斯角	新西兰		Providence, C.
普莱森特山	新西兰		Pleasant, Mt.
普莱森特波因特	新西兰		Pleasant Point
朗伊塔塔	新西兰		Rangitata
朗伊塔塔河	新西兰		Rangitata R.
朗伊奥拉	新西兰		Rangiora
朗伊托托岛	新西兰		Rangitoto I.
朗伊托托海峡	新西兰		Rangitoto Chan.
朗伊托托群岛	新西兰		Rangitoto Is.
朗伊泰基	新西兰		Rangitaiki
朗伊泰基河	新西兰		Rangitaiki R.
朗伊蒂基河	新西兰		Rangitikei R.
朗本	新西兰		Longburn
本奇岛	新西兰		Bench I.
本尼代尔	新西兰		Benneydale
本尼茨	新西兰		Bennetts
本莫尔坝	新西兰		Benmore Dam
杜沃谢勒	新西兰		Duvauchelle
杭阿罗阿	新西兰		Hangaroa
杭阿蒂基	新西兰		Hangatiki
杰克逊角	新西兰		Jackson, C.
柏林斯	新西兰		Berlins
查塔姆岛	新西兰		Chatham I.
查塔姆群岛	新西兰		Chatham Is.
查尔斯顿	新西兰		Charleston
查托克里克	新西兰		Chatto Creek
查默斯港	新西兰		Port Chalmers
柯蒂斯岛	新西兰		Curtis I.
格伦法格赫	新西兰		Glenfalloch
格伦阿夫顿	新西兰		Glen Afton
格伦霍普	新西兰		Glenhope
格伦马西	新西兰		Glen Massey
格拉尼蒂	新西兰		Granity
格林兰水库	新西兰		Greenland Res.
格莱内维	新西兰		Glenavy
格莱诺基	新西兰		Glenorchy
格莱诺马鲁	新西兰		Glenomaru
格雷特岛	新西兰		Great I.
格雷特福德	新西兰		Greatford
格雷茅斯	新西兰		Greymouth
桑伯里	新西兰		Thornbury
桑森	新西兰		Sanson
梅利纳角	新西兰		Melina, Mt.
梅德伯里	新西兰		Medbury
梅森湾	新西兰		Mason B.
森特岛	新西兰		Centre I.
欣格尔峰	新西兰		Shingle Pk.
欣登	新西兰		Hindon
欧内斯特群岛	新西兰		Ernest Is.
欧文山	新西兰		Owen, Mt.
母雏群岛	新西兰		Hen & Chicken Is.
比格湾	新西兰		Big B.
毕晓普—克拉克群岛	新西兰		Bishop and Clerk Is.
汉默斯普林斯	新西兰		Hanmer Springs
汤加岛	新西兰		Tonga I.
汤加里罗火山	新西兰		Tongariro Vol.
汤姆森山	新西兰		Thomson Mts.
沃什代克	新西兰		Washdyke
沃克沃思	新西兰		Warkworth
沃图	新西兰		Waotu
沃尔顿	新西兰		Walton
沃德	新西兰		Ward
沃德山	新西兰		Ward, Mt.
沃灵福德	新西兰		Wallingford
沿海凯库拉岭	新西兰		Seaward Kaikoura Ra.
法兰士·约瑟夫冰川	新西兰		Franz Josef Gl.
法赛尔港	新西兰		Facile Harb.
波弗蒂湾	新西兰		Poverty B.
波托贝洛	新西兰		Portobello
波特兰	新西兰		Portland
波特兰岛	新西兰		Portland I.
波里鲁阿港	新西兰		Porirua Harb.
泰勒山	新西兰		Taylor, Mt.
泰哈皮	新西兰		Taihape
泰布尔角	新西兰		Table C.
泰晤士	新西兰		Thames
泰鲁阿	新西兰		Tairua
洛本	新西兰		Lowburn
派罗阿	新西兰		Paeroa
海伦斯维尔	新西兰		Helensville
海恩兹	新西兰		Hinds
温切斯特	新西兰		Winchester
温布尔登	新西兰		Wimbledon
温德姆	新西兰		Wyndham
温莎	新西兰		Windsor
温顿	新西兰		Winton
滕尼森湖	新西兰		Tennyson, L.
爱德华森角	新西兰		Edwardson, C.
牛津	新西兰		Oxford
特克尼克尔山	新西兰		Technical, Mt.
特威泽尔	新西兰		Twizel
特拉弗斯山	新西兰		Travers, Mt.
特温斯山	新西兰		Twins, The
特穆卡	新西兰		Temuka
特纳盖恩角	新西兰		Turnagain, C.
特赖菲纳	新西兰		Tryphena
玛丽亚·范迪门角	新西兰		Maria Van Diemen, C.
珀彭迪丘勒角	新西兰		Perpendicular Pt.
班克斯半岛	新西兰		Banks Pen.
班尼索普	新西兰		Bunnythorpe
瑙鲁霍伊火山	新西兰		Ngauruhoe Vol.
瓦卡塔基	新西兰		Whakataki
瓦卡塔尼	新西兰		Whakatane
瓦卡普纳基山	新西兰		Whakapunaki
瓦卡马鲁	新西兰		Whakamaru
瓦哈罗阿	新西兰		Waharoa
瓦塔图图	新西兰		Whatatutu
瓦塔瓦塔	新西兰		Whatawhata
瓦塔罗阿河	新西兰		Whataroa R.
瓦希湖	新西兰		Wahi L.
瓦拉努伊	新西兰		Wharanui
瓦纳卡	新西兰		Wanaka
瓦雷亚	新西兰		Warea
瓦雷拉塔	新西兰		Wharerata
瓦雷阿马	新西兰		Whareama
皮克顿	新西兰		Picton
皮斯加山	新西兰		Pisgah, Mt.
皮特岛	新西兰		Pitt I.
福克斯峰	新西兰		Fox Pk.
福克斯顿	新西兰		Foxton
福勒山口	新西兰		Fowler P.
福德尔	新西兰		Fordell
福沃海峡	新西兰		Foveaux Str.
福特罗斯	新西兰		Fortrose
科孔加	新西兰		Kokonga
科布河水电站	新西兰		Cobb River H. E.
科德菲什岛	新西兰		Codfish I.
科普阿朗阿	新西兰		Kopuaranga
科罗尼特峰	新西兰		Coronet Pk.
科罗曼德尔	新西兰		Coromandel
科罗曼德尔半岛	新西兰		Coromandel Pen.
科胡拉塔希	新西兰		Kohuratahi
科菲蒂朗伊	新西兰		Kowhitirangi
穆鲁帕拉	新西兰		Murupara
米尔本	新西兰		Milburn
米尔福德桑德	新西兰		Milford Sound
米尔顿	新西兰		Milton
米德尔马奇	新西兰		Middlemarch
索兰德岛	新西兰		Solander I.
索普	新西兰		Thorpe
约克贝	新西兰		York Bay
约德赫斯特	新西兰		Yaldhurst
约瑟夫维尔	新西兰		Josephville
纳尔逊	新西兰		Nelson
纳尔逊统计区	新西兰		Nelson Statistical Area
纳蒂亚	新西兰		Ngatea
纳雄耐尔帕克	新西兰		National Park
纳鲁阿瓦希亚	新西兰		Ngaruawahia
纳黑里	新西兰		Ngahere
绍斯布里奇	新西兰		Southbridge
绍斯布鲁克	新西兰		Southbrook
维多利亚山	新西兰		Victoria, Mt.
维多利亚岭	新西兰		Victoria Ra.
维多利亚瓦利	新西兰		Victoria Valley
罗克斯堡	新西兰		Roxburgh
罗克维尔	新西兰		Rockville
罗尔斯顿	新西兰		Rolleston
罗托伊蒂湖	新西兰		Rotoiti, L.
罗托马哈纳湖	新西兰		Rotomahana L.
罗托鲁阿	新西兰		Rotorua
罗斯	新西兰		Ross
罗斯尼斯	新西兰		Roseneath
群岛湾	新西兰		Islands, B. of
考卡帕卡帕	新西兰		Kaukapakapa
耶路撒冷	新西兰		Jerusalem
肯德尔山	新西兰		Kendall, Mt.
背风岛	新西兰		Leeward I.
胡克	新西兰		Hook
胡克雷努伊	新西兰		Hukerenui
胡卡里里	新西兰		Hukarere
舍伍德当斯	新西兰		Sherwood Downs
舒岛	新西兰		Shoe I.
艾伦山	新西兰		Allen, Mt.
艾尔弗雷顿	新西兰		Alfredton
艾特肯山	新西兰		Aitken, Mt.
艾达瓦利	新西兰		Ida Valley
芒奥努伊	新西兰		Mangonui
芒特布鲁斯	新西兰		Mount Bruce
芒特芒阿努伊	新西兰		Mount Maunganui
芒阿塔尼法山	新西兰		Maungataniwha
芒阿法埃	新西兰		Mangawhai
芒阿芒埃罗山	新西兰		Maungamangero
芒阿豪	新西兰		Mangahao
芬赛德	新西兰		Fernside
莫凯	新西兰		Mokai
莫哈卡	新西兰		Mohaka
莫图伊卡	新西兰		Motueka
莫图卡瓦努伊岛	新西兰		Motukawanui I.
莫图唐伊	新西兰		Motutangi
莫图塔普岛	新西兰		Motutapu I.
莫图泰科岛	新西兰		Motutaiko I.
莫图瑙岛	新西兰		Motunau I.
莫图皮科	新西兰		Motupiko
莫图罗阿群岛	新西兰		Moturoa Is.
莫图阿希奥鲁岛	新西兰		Motu Ahiauru
莫图霍拉岛	新西兰		Motuhora
莫尔伯勒统计区	新西兰		Marlborough Statistical Area
莫尔斯沃思	新西兰		Molesworth
莫尔特布兰山	新西兰		Malte Brun
莫托罗伊岛	新西兰		Motuoroi I.
莫托霍拉	新西兰		Moutohora
莫斯吉尔	新西兰		Mosgiel
莫斯本	新西兰		Mossburn
莫林斯维尔	新西兰		Morrinsville
莫法瑙	新西兰		Mowhanau
莫科雷塔	新西兰		Mokoreta
莫考	新西兰		Mokau
莫蒂蒂岛	新西兰		Motiti I.
莫里斯维尔	新西兰		Mauriceville
莫里森斯	新西兰		Morrisons
莫里里	新西兰		Morere
莫阿方奥	新西兰		Moawhango
莫阿纳山	新西兰		Moana, Mt.
莱克科尔里奇	新西兰		Lake Coleridge
莱姆希尔斯	新西兰		Limehills
莱尔山	新西兰		Lyall, Mt.
莱弗尔斯	新西兰		Levels
菲尔丁	新西兰		Feilding
萨克斯顿山口	新西兰		Saxton P.
萨姆纳	新西兰		Sumner
萨姆纳湖	新西兰		Sumner, L.
萨瑟兰湾	新西兰		Sutherland Sd.
萨米特山	新西兰		Summit Mt.
蒂努伊	新西兰		Tinui
蒂劳	新西兰		Tirau
蒂劳米亚	新西兰		Tiraumea
蒂卡拉卡	新西兰		Te Karaka
蒂卡瓦	新西兰		Te Kawa
蒂哈罗托	新西兰		Te Haroto
蒂基蒂基	新西兰		Tikitiki
蒂尼罗托	新西兰		Tiniroto
蒂库伊蒂	新西兰		Te Kuiti
蒂怀蒂	新西兰		Te Whaiti
蒂昂阿	新西兰		Te Anga
蒂普亚	新西兰		Te Puia
蒂普基	新西兰		Te Puke
蒂波胡伊	新西兰		Te Pohue
蒂瓦伊波因特	新西兰		Tiwai Point
蒂瓦伊瓦伊湾	新西兰		Te Waewae B.
蒂瓦劳	新西兰		Te Wharau
蒂科基诺	新西兰		Tikokino
蒂科普鲁	新西兰		Te Kopuru
蒂纳穆	新西兰		Te Namu
蒂维厄特	新西兰		Teviot
蒂罗蒂	新西兰		Te Roti
蒂考法塔	新西兰		Te Kauwhata
蒂豪基	新西兰		Te Hauke
蒂里蒂里马唐伊岛	新西兰		Tiritiri Matangi I.
蒂阿拉罗阿	新西兰		Te Araroa
蒂阿瑙	新西兰		Te Anau
蒂阿瓦穆图	新西兰		Te Awamutu
蒂霍伊	新西兰		Tihoi
蒂韦拉	新西兰		Te Wera
蒂马鲁	新西兰		Timaru
蒂鲁阿角	新西兰		Tirua Pt.
西南角	新西兰		Southwest C.
西角	新西兰		West C.
西部统计区	新西兰		Westland Statistical Area
诺曼比	新西兰		Normanby
谢尔特角	新西兰		Shelter Pt.
豪拉基湾	新西兰		Hauraki G.
豪瓦伊	新西兰		Hauwai
贝克斯	新西兰		Becks
贝克斯利	新西兰		Bexley
贝尔岛	新西兰		Bare I.
贝尔布洛克	新西兰		Bell Block
贝维尤	新西兰		Bay View
费尔韦尔角	新西兰		Farewell, C.
费布雷罗角	新西兰		Febrero Pt.
费瑟斯顿	新西兰		Featherston
赫伯特维尔	新西兰		Herbertville
赫勒尔德群岛	新西兰		Herald Is.
赫雷塔尼法角	新西兰		Heretaniwha Pt.
达加维尔	新西兰		Dargaville
达尼丁	新西兰		Dunedin
达斯基湾	新西兰		Dusky Sd.
达菲尔德	新西兰		Darfield
迈特峰	新西兰		Mitre Pk.
迈迈	新西兰		Maimai
远西统计区	新西兰		Far West Stat stical Div.
迪普顿	新西兰		Dipton
