# 国家地名信息库·外国地名
# https://dmfw.mca.gov.cn/foreign.html
#
# 删除：
# 凡以此词居首的柬埔寨地名，概从Kâmpóng一栏检索。 Kompong，
#
# chineseName	countries	foreignName	romanAlphabet

乌赫勒	丹麦		Uhre
于丁山	丹麦		Yding Skovhøj
于兹比	丹麦		Ydby
于泽比	丹麦		Yderby
亚伊辛	丹麦		Jejsing
亚勒鲁普	丹麦		Hjallerup
亚恩岛	丹麦		Hjarnø
亚拜克	丹麦		Hjarbæk
亚泽莫尔	丹麦		Hjardemål
亚鲁普	丹麦		Hjarup
亚默兰湾	丹麦		Jammerland Bugt
亚默湾	丹麦		Jammerbug
亨	丹麦		Høng
亨讷	丹麦		Henne
亨辛厄	丹麦		Hønsinge
仓厄湖	丹麦		Tange Sø
代勒	丹麦		Daler
代尔比	丹麦		Dalby
代尔比内泽	丹麦		Dalbyneder
代尔比奥沃	丹麦		Dalbyover
代尔莫瑟	丹麦		Dalmose
代比约	丹麦		Dejbjerg
伊凯斯特	丹麦		Ikast
伊卢姆岛	丹麦		Illumø
伊尔布罗	丹麦		llbro
伊尔斯考	丹麦		Ilskov
伊杜姆	丹麦		Idum
伊森瓦	丹麦		Isenvad
伊泽斯楚普	丹麦		Idestrup
伊瑟湾	丹麦		Isefjord
伊瑟角	丹麦		Issehoved
伦堡	丹麦		Lønborg
伦德	丹麦		Rønde / Lundø
伦斯	丹麦		Rens
伦斯楚普	丹麦		Lønstrup
伦杜姆	丹麦		Lundum
伦比	丹麦		Lundby
伦比约	丹麦		Rønbjerg
伦讷	丹麦		Rønne / Lunde
伦讷堡	丹麦		Lundeborg
伦讷斯考	丹麦		Lunderskov
伦诺讷	丹麦		Renderne
伯乌灵比约	丹麦		Bøvlingbjerg
伯卢姆	丹麦		Børglum
伯斯楚普	丹麦		Bøstrup
伯灵	丹麦		Bølling
伯特	丹麦		Bøtø
伯科普	丹麦		Børkop
克伯莱乌	丹麦		Købelev
克利姆	丹麦		Klim
克利特默勒	丹麦		Klitmøller
克努斯半岛	丹麦		Knudshoved
克努斯角	丹麦		Knudshoved
克厄	丹麦		Køge
克厄湾	丹麦		Køge Bugt
克尔凯	丹麦		Kølkær
克尔斯楚普	丹麦		Kølstrup
克拉克灵	丹麦		Klakring
克拉厄奈斯	丹麦		Kragenæs
克拉厄隆	丹麦		Kragelund
克旺	丹麦		Kvong
克林特基克	丹麦		Klinte Kirke
克沃宁	丹麦		Kvorning
克洛堡	丹麦		Klovborg
克洛斯特海泽林地	丹麦		Klosterhede Plantage
克罗斯伯勒	丹麦		Krogsbølle
克罗艾厄	丹麦		Krogager
克莱楚普	丹麦		Klejtrup
克诺森山	丹麦		Knøsen
克里克	丹麦		Krik
克里克湾	丹麦		Krik Vig
克里斯楚普	丹麦		Kristrup
克里斯蒂安堡	丹麦		Christiansborg
克里斯蒂安岛	丹麦		Christiansø
克里斯蒂安斯海泽	丹麦		Christianshede
克里斯蒂安斯费尔德	丹麦		Christiansfeld
克雷默	丹麦		Kregme
克韦克比	丹麦		Kværkeby
克韦恩德鲁普	丹麦		Kværndrup
兰莱乌	丹麦		Randlev
兰讷	丹麦		Landet
兰讷斯	丹麦		Randers
兰讷斯湾	丹麦		Randers Fd.
兴厄	丹麦		Hinge
内克瑟	丹麦		Neksø
内克瑟尔岛	丹麦		Nekselø
内斯	丹麦		Nees
凡岛	丹麦		Fanø
凯勒湾	丹麦		Kalø Vig
凯勒鲁普	丹麦		Kjellerup
凯厄鲁普	丹麦		Kagerup
凯奈斯	丹麦		Kegnæs
凯尔夫斯隆	丹麦		Kalvslund
凯尔斯楚普	丹麦		Kelstrup
凯尔比	丹麦		Keldby
凯尔沃海沃	丹麦		Kalvehave
凯尔瑟角	丹麦		Kalsenakke
凯廷	丹麦		Ketting
凯廷厄	丹麦		Kettinge
凯斯楚普	丹麦		Kastrup
凯斯楚普机场〈哥本哈根〉	丹麦		Kastrup Airport
凯斯特比约	丹麦		Kastbjerg
凯特明讷	丹麦		Kerteminde
凯特楚普	丹麦		Kattrup
凯隆堡	丹麦		Kalundborg
凯隆堡湾	丹麦		Kalundborg Fd.
凯鲁姆	丹麦		Kaerum
切勒	丹麦		Tjele
切勒堡	丹麦		Tjaereborg
切勒比	丹麦		Tjaereby
切勒长湖	丹麦		Tjele Langsø
利勒河	丹麦		Lilleå
利姆水道	丹麦		Limfjorden
利尔斯特兰	丹麦		Lildstrand
利沃湾	丹麦		Livø Bredning
利瑟莱厄	丹麦		Liseleje
利诺	丹麦		Linå
利默	丹麦		Lihme
加伯尔	丹麦		Gabøl
加尔斯泰兹	丹麦		Galsted
加尔滕	丹麦		Galten
加德比约	丹麦		Gadbjerg
加苏姆	丹麦		Gassum
劳尔比约	丹麦		Laurbjerg
劳恩斯湾	丹麦		Lovns Bredning
勒兹凯斯布罗	丹麦		Rødkærsbro
勒兹比	丹麦		Rødby
勒兹比港	丹麦		Rødby Havn
勒兹沙洲	丹麦		Rødsand
勒兹维	丹麦		Rødvig
勒古姆克洛斯特	丹麦		Løgumkloster
勒姆岛	丹麦		Rømø
勒拜克	丹麦		Rørbæk
勒斯半岛	丹麦		Røsnæs
勒斯宁	丹麦		Løsning
勒斯莱乌	丹麦		Lørslev
勒格斯楚普	丹麦		Løgstrup
勒格斯特	丹麦		Løgstør
勒格滕	丹麦		Løgten
勒比	丹麦		Rørby
勒沃	丹麦		Løve
勒沃尔	丹麦		Løvel
勒津	丹麦		Rødding
勒湖	丹麦		Rød Sø
勒维	丹麦		Rørvig
勒肯	丹麦		Løkken
北内伯尔	丹麦		Nørre Nebel
北日德兰州	丹麦		Nordjylland Amtskommune
北石勒苏益格（地区）	丹麦		Nord Slesvig
北萨尔图姆	丹麦		Nørre Saltum
北西兰州	丹麦		Nordsjaelland Amtskommune
北阿尔斯莱乌	丹麦		Nørre Alslev
南日德兰州	丹麦		Sønderjylland Amtskommune
南翁西尔	丹麦		Sønder Onsild
博	丹麦		Bov
博伊登	丹麦		Bøjden
博勒斯莱乌	丹麦		Bolderslev
博岛	丹麦		Bogø / Bågø
博恩瑟	丹麦		Bogense
博恩霍尔姆岛	丹麦		Bornholm
博恩霍尔姆州	丹麦		Bornholm Amtskommune
博文瑟	丹麦		Bovense
博斯隆讷	丹麦		Boeslunde
博灵湾	丹麦		Båring Vig
博瑟	丹麦		Bårse
博里斯	丹麦		Borris
博鲁姆	丹麦		Borum
博鲁普	丹麦		Borup
卡勒拜克	丹麦		Karrebæk
卡勒拜克斯明讷	丹麦		Karrebæksminde
卡勒拜克斯明讷湾	丹麦		Karrebæksminde Bugt
卡勒比	丹麦		Karleby
卡尔比	丹麦		Karlby
卡斯措夫特	丹麦		Karstoft
卡比	丹麦		Karby
卡珀尔	丹麦		Kappel
卡里瑟	丹麦		Karise
卢姆索斯	丹麦		Lumsås
厄丁	丹麦		Ørding
厄兰（地区）	丹麦		Øland
厄尔戈	丹麦		Ølgod
厄斯勒斯	丹麦		Øsløs
厄斯楚普	丹麦		Østrup
厄斯特比	丹麦		Østerby
厄瑟	丹麦		Ørsø
厄鲁姆	丹麦		Ørum
古兹比约	丹麦		Gudbjerg
古兹耶姆	丹麦		Gudhjem
古尔堡	丹麦		Guldborg
古尔堡海峡	丹麦		Guldborg Sd.
古尔比约	丹麦		Guldbjerg
古尔艾厄	丹麦		Guldager
古曾河	丹麦		Gudenå
古杜姆	丹麦		Gudum
古杜姆基克	丹麦		Gudum Kirke
古杜姆霍尔姆	丹麦		Gudumholm
古泽鲁普	丹麦		Guderup
古莱乌	丹麦		Gullev
古默	丹麦		Gudme
吉勒莱厄	丹麦		Gilleleje
吉夫斯库	丹麦		Givskud
吉尔比约角	丹麦		Gilbjerghovod
吉斯灵厄	丹麦		Gislinge
吉斯莱乌	丹麦		Gislev
吕厄	丹麦		Rye
吕奈斯	丹麦		Lynæs
吕奥姆高	丹麦		Ryomgård
吕岛	丹麦		Lyø
吕斯灵厄	丹麦		Ryslinge
吕杜姆	丹麦		Lydum
吕比	丹麦		Lyby
吕泽	丹麦		Ryde
吕讷	丹麦		Lyne
吕镇	丹麦		Ry
哈勒	丹麦		Harre
哈博厄	丹麦		Harboør
哈博厄沙嘴	丹麦		Harboør Tange
哈叙瑟尔（地区）	丹麦		Harsyssel
哈廷	丹麦		Hatting
哈斯隆	丹麦		Haslund
哈泽斯莱乌	丹麦		Haderslev
哈泽斯莱乌州（旧）	丹麦		Haderslev Amt.
哈泽鲁普	丹麦		Haderup
哈莱乌	丹麦		Harlev
哈里斯莱乌	丹麦		Harridslev
哈默尔	丹麦		Hammel
哈默斯霍伊	丹麦		Hammershøj
哈默莱乌	丹麦		Hammelev
哈默鲁姆	丹麦		Hammerum
哥本哈根	丹麦		København / [Copenhagen] København
哥本哈根州	丹麦		Københavns Amtskommune
坎讷斯泰德讷	丹麦		Kandestederne
埃伯尔措夫特	丹麦		Ebeltoft
埃伯鲁普	丹麦		Ebberup
埃利斯霍伊	丹麦		Ellidshøj
埃尔瑟高勒	丹麦		Elsegårde
埃斯基尔斯楚普	丹麦		Eskilstrup
埃斯本讷鲁普	丹麦		Esbøndcrup
埃斯楚普隆	丹麦		Estruplund
埃斯比约	丹麦		Esbjerg
埃斯特瓦	丹麦		Estvad
埃斯珀	丹麦		Espe
埃斯珀盖勒	丹麦		Espergærde
埃斯鲁姆湖	丹麦		Esrum Sø
埃林莱乌	丹麦		Errindlev
埃格斯莱乌毛勒	丹麦		Eggeslevmagle
埃沃德鲁普	丹麦		Everdrup
埃灵	丹麦		Elling
埃灵厄	丹麦		Ellinge
埃里策	丹麦		Erritsø
埃默斯克	丹麦		Emmerske
埃默莱乌	丹麦		Emmerlev
基伦湖	丹麦		Kilen
基克斯蒂灵厄	丹麦		Kirke Stillinge
基克比	丹麦		Kirkeby
基克海尔辛厄	丹麦		Kirke Helsinge
基克瓦尔瑟	丹麦		Kirke Hvalsø
基克索比	丹麦		Kirke Såby
基克许灵厄	丹麦		Kirke Hyllinge
基勒布伦讷	丹麦		Kildebrønde
基拜克	丹麦		Kibæk
基瑟鲁普	丹麦		Kisserup
塞伯松	丹麦		Sebbersund
塞尔德	丹麦		Selde
夏洛滕隆	丹麦		Charlottenlund
多克代尔	丹麦		Dokkedal
多勒鲁普	丹麦		Dollerup
大因讷瓦	丹麦		Store Jyndevad
大富莱泽	丹麦		Store Fuglede
大斯皮耶勒鲁普	丹麦		Store Spjellerup
大毛勒比	丹麦		Store Magleby
大沼泽	丹麦		Store Vildmose
大海津厄	丹麦		Store Heddinge
大贝尔特海峡	丹麦		Store Bælt
大达鲁姆	丹麦		Store Darum
大里瑟	丹麦		Store Rise
大阿登	丹麦		Store Arden
大陡崖	丹麦		Storeklint
奈斯堡	丹麦		Næsborg
奈斯比	丹麦		Næsby
奈斯比霍沃布罗比	丹麦		Næsbyhoved Broby
奈斯特韦兹	丹麦		Næstved
奈鲁姆	丹麦		Nærum
奥克罗湾	丹麦		Åkrog Bugt
奥勒	丹麦		Orø / Ore / Åle
奥勒斯楚普	丹麦		Ålestrup
奥勒松	丹麦		Årøsund
奥卢姆	丹麦		Ålum / Avlum
奥厄鲁普	丹麦		Ågerup
奥基克比	丹麦		Åkirkeby
奥宁	丹麦		Auning
奥尔堡	丹麦		Ålborg
奥尔堡州（旧）	丹麦		Ålborg Amtskommune
奥尔堡湾	丹麦		Ålborg Bugt
奥尔拜克	丹麦		Ålbæk
奥尔拜克湾	丹麦		Ålbæk Bugt
奥尔瑟	丹麦		Ålsø
奥斯	丹麦		Års
奥斯巴勒	丹麦		Årsballe
奥斯楚普	丹麦		Åstrup
奥斯泰兹	丹麦		Osted / Åsted
奥斯达勒	丹麦		Årsdale
奥本罗	丹麦		Åbenrå
奥本罗—森德堡州（旧）	丹麦		Åbenrå-Sønderborg Amt.
奥比布罗	丹麦		Åbybro
奥泽	丹麦		Odder
奥泽海峡	丹麦		Odde Sund
奥特鲁普	丹麦		Otterup
奥珀松比	丹麦		Oppe Sundby
奥胡斯	丹麦		Århus / [Aarhus] Århus
奥胡斯州	丹麦		Århus Amtskommune
奥苏姆	丹麦		Åsum
奥莫瑟河	丹麦		Åmose Å
奥诺半岛	丹麦		Avnø
奥诺湾	丹麦		Avnø Fd.
奥高	丹麦		Ågård
奥鲁普	丹麦		Årup
奥默	丹麦		Om
奥默河	丹麦		Omme Å
孔厄河	丹麦		Kongeå
孔恩斯—灵比	丹麦		Kongens Lyngby
孔斯泰兹	丹麦		Kongsted
孔斯马克	丹麦		Kongsmark
安尼瑟	丹麦		Annisse
安斯艾厄	丹麦		Ansager
安霍尔特	丹麦		Anholt
安霍尔特岛	丹麦		Anholt
宾讷巴勒	丹麦		Bindeballe
宾讷鲁普河	丹麦		Binderup Å
富勒比约	丹麦		Fuglebjerg
富勒湖	丹麦		Furesø
富尔斯伯勒	丹麦		Fuglsbølle
富辛湖	丹麦		Fussing Sø
察姆	丹麦		Tarm
察普斯	丹麦		Taps
察珀诺伊厄	丹麦		Tappernøje
小贝尔特海峡	丹麦		Lille Bælt
尤夫勒	丹麦		Juvre
尤尔斯明讷	丹麦		Juelsminde
尤尔湖	丹麦		Julsø
尼伯	丹麦		Nibe
尼伯湾	丹麦		Nibe Bredning
尼克宾	丹麦		Nykøbing
尼克宾法尔斯特	丹麦		Nykøbing Falster
尼堡	丹麦		Nyborg
尼姆	丹麦		Nim
尼姆措夫特	丹麦		Nimtofte
尼斯泰兹	丹麦		Nysted
尼沃	丹麦		Nivå
尼苏姆湾	丹麦		Nissum Bredning
尼苏姆潟湖	丹麦		Nissum Fd.
居伦勒沃山	丹麦		Gyldenløves Høj
居斯廷厄	丹麦		Gyrstinge
居灵	丹麦		Gylling
居灵角	丹麦		Gylling Næs
屈霍尔姆岛	丹麦		Kyholm
岑宁	丹麦		Tønning
岑讷	丹麦		Tønder
岑讷州（旧）	丹麦		Tønder Amt
巴伦	丹麦		Ballen
巴勒	丹麦		Balle
巴勒鲁普	丹麦		Ballerup
巴勒鲁普—莫勒夫	丹麦		Ballerup-Måløv
巴卢姆	丹麦		Ballum
巴尔岛	丹麦		Barsø
巴恩科普	丹麦		Bagenkop
巴灵	丹麦		Balling
巴里特	丹麦		Barrit
布伦斯	丹麦		Brøns
布伦斯霍伊	丹麦		Brønshøj
布伦杜姆	丹麦		Brøndum
布伦讷斯莱乌	丹麦		Brønderslev
布伦讷鲁普	丹麦		Brenderup
布兰岛	丹麦		Brandsø
布兰德鲁普	丹麦		Branderup
布兰讷	丹麦		Brande
布利斯楚普	丹麦		Blistrup
布勒鲁普	丹麦		Brørup
布卡尔	丹麦		Burkal
布吕鲁普	丹麦		Bryrup
布尔	丹麦		Bur
布拉布兰	丹麦		Brabrand
布拉斯湖	丹麦		Brassø
布拉明	丹麦		Bramming
布朗斯莱乌	丹麦		Blangslev
布洛克胡斯	丹麦		Blokhus
布洛山	丹麦		Blåbjerg
布洛赫伊	丹麦		Blåhøj
布瑟	丹麦		Bursø
布罗斯特	丹麦		Brovst
布罗比	丹麦		Bråby
布罗艾厄	丹麦		Broager
布莱勒	丹麦		Blære
布赖宁	丹麦		Brejning
布赖宁厄	丹麦		Bregninge
布赖斯楚普	丹麦		Brædstrup
布雷斯楚普	丹麦		Bredstrup
布雷斯滕	丹麦		Bredsten
布雷泽	丹麦		Brede
布雷泽布罗	丹麦		Bredebro
布雷泽瓦	丹麦		Bredevad
希勒勒	丹麦		Hillerød
希勒斯莱乌	丹麦		Hillerslev
希斯霍尔梅讷群岛	丹麦		Hirsholmene
希茨海尔斯	丹麦		Hirtshals
平斯楚普	丹麦		Pindstrup
延讷鲁普	丹麦		Janderup
弗伦斯泰兹	丹麦		Vrensted
弗伦斯莱乌	丹麦		Føllenslev
弗劳厄	丹麦		Vroue
弗劳德	丹麦		Fraugde
弗勒	丹麦		Følle
弗勒古姆	丹麦		Vrøgum
弗勒斯楚普	丹麦		Frøstrup
弗勒斯莱乌	丹麦		Frøslev
弗勒鲁普	丹麦		Frørup
弗吕	丹麦		Fly
弗拉斯	丹麦		Vrads
弗林讷基克	丹麦		Flynder Kirke
