# 中国历史地名大辞典
# 复旦大学历史地理研究所编《中国历史地名辞典》，江西教育出版社，1986年
# https://forum.freemdict.com/t/topic/12460
# https://forum.freemdict.com/t/topic/14497
# https://github.com/rime-aca/corpus/blob/master/中國歷史地名辭典.txt
# 地名	繁体	序号	页码

三梁邑		416	0020
三鸦路	(三鵶路)	417	0020
三鸦镇	(三鵶鎮)	418	0020
三惠寺		419	0020
三韩县	(三韓縣)	420	0020
三萼山		421	0020
三堡镇	(三堡鎮)	422	0020
三渡关	(三渡關)	423	0020
三游洞		424	0020
三缝县	(三縫縣)	425	0020
三塘堡		426	0020
三塘铺	(三塘鋪)	427	0020
三碉城	(三碉城)	428	0020
三朡国	(三㚇国、三朡國)	429	0020
三涂山	(三塗山)	430	0020
三槐堂		431	0020
三寨堡		432	0020
三溪县	(三溪縣)	433	0020
三藏口		434	0020
三鬷国	(三鬷國)	435	0020
三鳣堂	(三鱣堂)	436	0020
三衢山		437	0020
三十里铺	(三十里鋪)	438	0020
三天子都		439	0020
三百里滩	(三百里灘)	440	0020
三合桥堡	(三合橋堡)	441	0021
三江口镇	(三江口鎮)	442	0021
三汊口城		443	0021
三岔口堡		444	0021
三罗骨山	(三羅骨山)	445	0021
三受降城		446	0021
三山千户所		447	0021
三江千户所		448	0021
三河口盐务	(三河口鹽務)	449	0021
三音诺颜部	(三音諾顏部)	450	0021
三陂地蓬等处长官司	(三陂地蓬等處長官司)	451	0021
干国	(干國)	452	0021
干城		453	0021
干远州	(干遠州)	454	0021
干言山		455	0021
乾封县	(乾封縣)	456	0021
干越亭		457	0021
干越渡		458	0021
干赖赕	(干賴賧)	459	0021
干隧邑		460	0021
干崖宣抚司	(干崖宣撫司)	461	0021
于山		462	0022
于中		463	0022
于延水		464	0022
于越国	(于越國)	465	0022
于湖县	(于湖縣)	466	0022
于塘村		467	0022
于阗国	(于闐國)	468	0022
于阗河	(于闐河)	469	0022
于阗镇	(于闐鎮)	470	0022
于都斤山		471	0022
亏容甸长官司	(虧容甸長官司)	472	0022
工塘城		473	0022
工䱷国	(工{虍/魚+攵}国、工渔国、工䱷國)	474	0022
士乡聚	(士鄉聚)	475	0022
士林城		476	0022
士雅山		477	0022
土山		478	0022
土门	(土門)	479	0022
土河		480	0023
土楼	(土樓)	481	0023
土山县	(土山縣)	482	0023
土门县	(土門縣)	483	0023
土门城	(土門城)	484	0023
土木堡		485	0023
土目驿	(土目驛)	486	0023
土军县	(土軍縣)	487	0023
土关隘	(土關隘)	488	0023
土坊镇	(土坊鎮)	489	0023
土伯特		490	0023
土坪铺	(土坪鋪)	491	0023
土垠县	(土垠縣)	492	0023
土桥镇	(土橋鎮)	493	0023
土喇河		494	0023
土鼓县	(土鼓縣)	495	0023
土楼山	(土樓山)	496	0023
土墱城		497	0023
土墱寨		498	0023
土壕铺	(土壕鋪)	499	0023
土谢图汗部	(土謝圖汗部)	500	0023
土谢图汗旗	(土謝圖汗旗)	501	0023
下口		502	0023
下江		503	0023
下岩		504	0024
下邾		505	0024
下土寨		506	0024
下川山		507	0024
下川洲		508	0024
下马陵	(下馬陵)	509	0024
下历镇	(下歷鎮)	510	0024
下水镇	(下水鎮)	511	0024
下江厅	(下江廳)	512	0024
下阳邑	(下陽邑)	513	0024
下阴邑	(下陰邑)	514	0024
下邳县	(下邳縣)	515	0024
下邳国	(下邳國)	516	0024
下邳郡		517	0024
下邑县	(下邑縣)	518	0024
下沙场	(下沙場)	519	0024
下邽县	(下邽縣)	520	0024
下国邑	(下國邑)	521	0024
下迮戍		522	0024
下河寨		523	0024
下泺堰	(下濼堰)	524	0024
下沱市		525	0024
下城父		526	0024
下封县	(下封縣)	527	0024
下草湾	(下草灣)	528	0024
下相县	(下相縣)	529	0024
下洛县	(下洛縣)	530	0025
下浒堡	(下滸堡)	531	0025
下鄀国	(下鄀國)	532	0025
下桃城		533	0025
下虒亭		534	0025
下隽县	(下隽縣)	535	0025
下笮戍		536	0025
下淮戍		537	0025
下淡水		538	0025
下梁城		539	0025
下密县	(下密縣)	540	0025
下窑隘	(下窯隘)	541	0025
下博县	(下博縣)	542	0025
下博桥	(下博橋)	543	0025
下蒲县	(下蒲縣)	544	0025
下落县	(下落縣)	545	0025
下雷州		546	0025
下雷峒		547	0025
下蜀城		548	0025
下雉县	(下雉縣)	549	0025
下溠县	(下溠縣)	550	0025
下溪州		551	0025
下蔡县	(下蔡縣)	552	0025
下蔡邑		553	0025
下辨县	(下辨縣)	554	0026
下辨道		555	0026
下磕城		556	0026
下马关营	(下馬關營)	557	0026
下天竺寺		558	0026
下石西州		559	0026
下皮林铺	(下皮林鋪)	560	0026
下曲阳县	(下曲陽縣)	561	0026
下曲阳邑	(下曲陽邑)	562	0026
下旺土司		563	0026
下竿塘山		564	0026
下峨桥镇	(下峨橋鎮)	565	0026
下蔡新城		566	0026
下峒长官司	(下峒長官司)	567	0026
