# 国家地名信息库·月球地名
# https://dmfw.mca.gov.cn/moon.html
#
# 标准译名	国际通用名	地形类别

梅津采夫	Mezentsev	环形山、坑
梅森	Mersenius	环形山、坑
梅修斯	Metius	环形山、坑
门捷列夫	Mendeleev	环形山、坑
蒙戈尔费埃	Montgolfier	环形山、坑
孟德尔	Mendel	环形山、坑
米	Mee	环形山、坑
米尔恩	Milne	环形山、坑
米兰科维奇	Milankovič	环形山、坑
米勒	Miller	环形山、坑
米奈尔	Minnaert	环形山、坑
米特拉	Mitra	环形山、坑
密立根	Millikan	环形山、坑
闵科夫斯基	Minkowski	环形山、坑
莫尔斯	Morse	环形山、坑
莫塞莱	Moseley	环形山、坑
墨卡托	Mercator	环形山、坑
墨丘利	Mercurius	环形山、坑
穆图什	Mutus	环形山、坑
穆谢	Mouchez	环形山、坑
南森	Nansen	环形山、坑
能斯脱	Nernst	环形山、坑
牛顿	Newton	环形山、坑
努梅罗夫	Numerov	环形山、坑
诺贝尔	Nobel	环形山、坑
欧几里得	Euclides	环形山、坑
欧姆	Ohm	环形山、坑
帕克赫斯特	Parkhurst	环形山、坑
帕帕列克西	Papaleksi	环形山、坑
帕申	Paschen	环形山、坑
帕斯卡	Pascal	环形山、坑
潘格雷	Pingré	环形山、坑
泡利	Pauli	环形山、坑
培根	Baco	环形山、坑
蓬泰库朗	Pontécoulant	环形山、坑
皮科洛米尼	Piccolomini	环形山、坑
皮亚齐	Piazzi	环形山、坑
平山	Hirayama	环形山、坑
坡印廷	Poynting	环形山、坑
珀赖因	Perrine	环形山、坑
普尔巴赫	Purbach	环形山、坑
普拉斯基特	Plaskett	环形山、坑
普朗克	Planck	环形山、坑
普朗特	Prandtl	环形山、坑
齐奥尔科夫斯基	Tsiolkovskiy	环形山、坑
齐拉特	Szilard	环形山、坑
恰普雷金	Chaplygin	环形山、坑
钱柏林	Chamberlin	环形山、坑
钱德勒	Chandler	环形山、坑
切比雪夫	Chebyshev	环形山、坑
让桑	Janssen	环形山、坑
茹科夫斯基	Zhukovskiy	环形山、坑
儒勒·凡尔纳	Jules Verne	环形山、坑
儒略·凯撒	Julius Caesar	环形山、坑
瑞利	Rayleigh	环形山、坑
萨哈	Saha	环形山、坑
萨克罗博斯科	Sacrobosco	环形山、坑
塞曼	Zeeman	环形山、坑
赛弗特	Seyfert	环形山、坑
色诺芬尼	Xenophanes	环形山、坑
沙因	Shayn	环形山、坑
施莱辛格	Schlesinger	环形山、坑
施吕特	Schlüter	环形山、坑
史瓦西	Schwarzschild	环形山、坑
舒伯特	Schubert	环形山、坑
舒马赫	Schumacher	环形山、坑
舒斯特	Schuster	环形山、坑
斯科特	Scott	环形山、坑
斯克洛多夫斯卡	Sklodowska	环形山、坑
斯内利厄斯	Snellius	环形山、坑
斯潘塞·琼斯	Spencer Jones	环形山、坑
斯特宾斯	Stebbins	环形山、坑
斯特藩	Stefan	环形山、坑
斯特鲁维	Struve	环形山、坑
斯文赫定	Hedin	环形山、坑
索末菲	Sommerfeld	环形山、坑
索思	South	环形山、坑
汤姆孙	Thomson	环形山、坑
特朗普勒	Trumpler	环形山、坑
提丢斯	Titius	环形山、坑
托勒玫	Ptolemaeus	环形山、坑
瓦尔特	Walther	环形山、坑
瓦斯科·达·伽马	Vasco da Gama	环形山、坑
瓦特	Watt	环形山、坑
瓦维洛夫	Vavilov	环形山、坑
外尔	Weyl	环形山、坑
威·邦德	W. Bond	环形山、坑
威尔逊	Wilson	环形山、坑
威廉	Wilhelm	环形山、坑
韦伯	Weber	环形山、坑
韦达	Vieta	环形山、坑
韦尔纳茨基	Vernadskiy	环形山、坑
韦格纳	Wegener	环形山、坑
维纳	Wiener	环形山、坑
文特里斯	Ventris	环形山、坑
伍德	Wood	环形山、坑
西奥菲勒斯	Theophilus	环形山、坑
西尔斯	Seares	环形山、坑
西哈诺	Cyrano	环形山、坑
西科尔斯基	Sikorsky	环形山、坑
西里尔	Cyrillus	环形山、坑
希尔伯特	Hilbert	环形山、坑
希吉努斯	Hyginus	环形山、坑
席格蒙迪	Zsigmondy	环形山、坑
席勒	Schiller	环形山、坑
谢里曼	Schliemann	环形山、坑
谢灵顿	Sherrington	环形山、坑
休姆	Hume	环形山、坑
薛定谔	Schrödinger	环形山、坑
雅勃洛奇科夫	Yablochkov	环形山、坑
雅可比	Jacobi	环形山、坑
亚当斯	Adams	环形山、坑
