# 中国·国家地名信息库 行政区划代码（数据截止日期为2025年12月31日）
# https://dmfw.mca.gov.cn/XzqhVersionPublish.html
#
# name	code	level	type	children
# -	00	0		34

西龙虎峪镇	120119121	4		
穿芳峪镇	120119122	4		
东二营镇	120119123	4		
许家台镇	120119124	4		
礼明庄镇	120119125	4		
东赵各庄镇	120119126	4		
州河湾镇	120119127	4		
孙各庄满族乡	120119203	4		
河北省	13	1	省	11
河北省	130000000	1		
石家庄市	1301	2	地级市	22
石家庄市	130100000	2		
长安区	130102	3	市辖区	0
长安区	130102000	3		
建北街道	130102001	4		
青园街道	130102002	4		
广安街道	130102003	4		
育才街道	130102004	4		
跃进街道	130102005	4		
河东街道	130102007	4		
长丰街道	130102010	4		
谈固街道	130102011	4		
中山东路街道	130102012	4		
阜康街道	130102013	4		
建安街道	130102014	4		
胜北街道	130102015	4		
西兆通镇	130102100	4		
南村镇	130102101	4		
高营镇	130102102	4		
桃园镇	130102103	4		
桥西区	130104	3	市辖区	0
桥西区	130104000	3		
东里街道	130104001	4		
中山街道	130104002	4		
南长街道	130104004	4		
维明街道	130104005	4		
友谊街道	130104007	4		
红旗街道	130104008	4		
新石街道	130104009	4		
苑东街道	130104010	4		
西里街道	130104011	4		
振头街道	130104012	4		
留营街道	130104013	4		
长兴街道	130104014	4		
东华街道	130104015	4		
休门街道	130104016	4		
彭后街道	130104017	4		
东风街道	130104018	4		
汇通街道	130104019	4		
新华区	130105	3	市辖区	0
新华区	130105000	3		
革新街道	130105001	4		
新华路街道	130105003	4		
宁安街道	130105004	4		
东焦街道	130105005	4		
西苑街道	130105006	4		
合作路街道	130105007	4		
联盟街道	130105008	4		
石岗街道	130105009	4		
天苑街道	130105011	4		
北苑街道	130105012	4		
赵陵铺路街道	130105013	4		
赵佗路街道	130105014	4		
大郭街道	130105015	4		
西三庄街道	130105016	4		
杜北街道	130105017	4		
井陉矿区	130107	3	市辖区	0
井陉矿区	130107000	3		
矿市街道	130107001	4		
四微街道	130107002	4		
贾庄镇	130107100	4		
凤山镇	130107101	4		
横涧乡	130107200	4		
裕华区	130108	3	市辖区	0
裕华区	130108000	3		
裕兴街道	130108001	4		
裕强街道	130108002	4		
东苑街道	130108003	4		
建通街道	130108004	4		
槐底街道	130108005	4		
裕华路街道	130108006	4		
裕东街道	130108007	4		
长江街道	130108008	4		
太行街道	130108009	4		
裕翔街道	130108010	4		
建华南街道	130108011	4		
宋营镇	130108100	4		
方村镇	130108101	4		
藁城区	130109	3	市辖区	0
藁城区	130109000	3		
廉州镇	130109100	4		
兴安镇	130109101	4		
贾市庄镇	130109102	4		
南营镇	130109103	4		
梅花镇	130109104	4		
岗上镇	130109105	4		
丘头镇	130109106	4		
南董镇	130109107	4		
张家庄镇	130109108	4		
南孟镇	130109109	4		
增村镇	130109110	4		
常安镇	130109111	4		
西关镇	130109112	4		
九门回族乡	130109200	4		
鹿泉区	130110	3	市辖区	0
鹿泉区	130110000	3		
获鹿镇	130110100	4		
铜冶镇	130110101	4		
寺家庄镇	130110102	4		
上庄镇	130110103	4		
李村镇	130110104	4		
宜安镇	130110105	4		
黄壁庄镇	130110106	4		
大河镇	130110107	4		
山尹村镇	130110108	4		
石井乡	130110200	4		
白鹿泉乡	130110201	4		
上寨乡	130110202	4		
栾城区	130111	3	市辖区	0
栾城区	130111000	3		
栾城镇	130111100	4		
郄马镇	130111101	4		
冶河镇	130111102	4		
窦妪镇	130111103	4		
楼底镇	130111104	4		
南高乡	130111200	4		
柳林屯乡	130111201	4		
西营乡	130111202	4		
井陉县	130121	3	县	0
井陉县	130121000	3		
微水镇	130121100	4		
上安镇	130121101	4		
天长镇	130121102	4		
秀林镇	130121103	4		
南峪镇	130121104	4		
威州镇	130121105	4		
小作镇	130121106	4		
南障城镇	130121107	4		
苍岩山镇	130121108	4		
测鱼镇	130121109	4		
吴家窑乡	130121200	4		
北正乡	130121201	4		
于家乡	130121202	4		
孙庄乡	130121203	4		
南陉乡	130121204	4		
辛庄乡	130121205	4		
南王庄乡	130121206	4		
正定县	130123	3	县	0
正定县	130123000	3		
诸福屯街道	130123001	4		
三里屯街道	130123002	4		
正定镇	130123100	4		
新城铺镇	130123102	4		
新安镇	130123103	4		
南岗镇	130123104	4		
曲阳桥镇	130123105	4		
南牛镇	130123106	4		
南楼乡	130123201	4		
西平乐乡	130123202	4		
行唐县	130125	3	县	0
行唐县	130125000	3		
龙州镇	130125100	4		
南桥镇	130125101	4		
上碑镇	130125102	4		
口头镇	130125103	4		
上方镇	130125104	4		
独羊岗乡	130125200	4		
安香乡	130125201	4		
只里乡	130125202	4		
市同乡	130125203	4		
翟营乡	130125204	4		
城寨乡	130125205	4		
玉亭乡	130125207	4		
北河乡	130125208	4		
上阎庄乡	130125209	4		
九口子乡	130125210	4		
灵寿县	130126	3	县	0
灵寿县	130126000	3		
灵寿镇	130126100	4		
青同镇	130126101	4		
塔上镇	130126102	4		
陈庄镇	130126103	4		
慈峪镇	130126104	4		
岔头镇	130126105	4		
三圣院乡	130126200	4		
北洼乡	130126201	4		
牛城乡	130126202	4		
狗台乡	130126203	4		
南寨乡	130126204	4		
南燕川乡	130126205	4		
北谭庄乡	130126206	4		
寨头乡	130126207	4		
南营乡	130126208	4		
高邑县	130127	3	县	0
高邑县	130127000	3		
高邑镇	130127100	4		
大营镇	130127101	4		
富村镇	130127102	4		
万城镇	130127103	4		
中韩镇	130127104	4		
深泽县	130128	3	县	0
深泽县	130128000	3		
深泽镇	130128100	4		
铁杆镇	130128101	4		
赵八镇	130128102	4		
大桥头镇	130128103	4		
白庄乡	130128200	4		
留村乡	130128201	4		
赞皇县	130129	3	县	0
赞皇县	130129000	3		
赞皇镇	130129100	4		
院头镇	130129101	4		
南邢郭镇	130129102	4		
嶂石岩镇	130129103	4		
西龙门镇	130129104	4		
