# 兩岸差異用詞
# https://github.com/g0v/moedict-data-csld/blob/master/兩岸差異用詞.xlsx
# https://dict.concised.moe.edu.tw/appendix.jsp?ID=54
# 差異別: 1=兩岸同實異名-753; 2=兩岸同名異實-97; 3=臺灣特有-801; 4=大陸特有-3301
# 
# 臺灣詞	大陸詞	差異別

二氧化矽	二氧化硅	1
亞佛加厥數	阿伏加德羅數	1
人類基因體計畫	人類基因組計畫	1
列印	打印	1
加護病房	加強治療病房	1
加護病房	監護病房	1
千位元組	千字節	1
卡式電話	磁卡電話	1
去氧核糖	脫氧核糖	1
反聖嬰	反厄爾尼諾現象	1
反聖嬰現象	反厄爾尼諾現象	1
吉貝酸	赤黴酸	1
唱片行	音像店	1
噴墨印表機	噴墨式打印機	1
土地所有權狀	土地所有權證	1
在職訓練	在職培訓	1
埠	端口	1
塑膠袋	塑料袋	1
大英國協	英聯邦	1
奈米技術	納米技術	1
奈米科學	納米科學	1
子母畫面電視	雙畫面電視	1
字元	字符	1
安非他命	安非他明	1
寬頻電話	網絡電話	1
封底裡	封三	1
帕拉林匹克運動會	殘疾人奧林匹克運動會	1
平交道	道口	1
扮黑臉	唱白臉	1
抽取式磁碟	移動存儲器	1
數位相機	數碼照相機	1
施子	施主	1
晶片卡	芯片卡	1
樣品屋	樣板間	1
每秒千位元數	每秒千比特	1
每秒位元數	每秒傳送位數	1
潘他唑新	噴他佐辛	1
潘他唑新	鎮痛新	1
球面方程式	球面方程	1
理賠服務中心	理賠站	1
瓦斯鋼瓶	液化氣罐	1
白袍	白大褂	1
矽谷	硅谷	1
矽橡膠	硅橡膠	1
破音字	破讀字	1
程式語言	程序語言	1
籃框	籃筐	1
紅外線光譜法	紅外光譜法	1
細懸浮微粒	可入肺顆粒物	1
網路行銷	網絡營銷	1
網路沉溺症	網絡綜合徵	1
網路蟑螂	網絡蟑螂	1
網路電話	互聯網電話	1
胺基酸	氨基酸	1
莫耳體積	摩爾體積	1
藍調	布魯斯	1
虛擬記憶體	虛擬內存	1
螢光劑	白色染料	1
螢光增白劑	熒光劑	1
行照	行駛證	1
行動硬碟	移動硬盤	1
護貝	塑封	1
資料探勘	數據挖掘	1
起點站	始發站	1
超文本標記語言	超文本置標語言	1
軟體工程	軟件工程	1
輔助記憶體	外存儲器	1
迪斯可	迪斯科	1
遊覽車	旅遊車	1
過動兒	多動兒	1
郵遞區號	郵碼	1
金氏世界紀錄	吉尼斯世界紀錄	1
錄影機	錄像機	1
開發中國家	欠發達國家	1
閘道器	網關	1
隨身硬碟	移動硬盤	1
隨身碟	優盤	1
雷射導引	激光制導	1
電腦網路	計算機網絡	1
震撼彈	重磅炸彈	1
風浪板	滑浪風帆	1
首席營運長	首席運營官	1
駕訓班	駕校	1
驗票閘門	閘機	1
高空彈跳	蹦極	1
三合一咖啡	一加二咖啡	1
中文化	漢化	1
互動式媒體	交互式媒體	1
亞佛加厥定律	阿伏加德羅定律	1
信用狀	信用證	1
光碟機	光盤機	1
光碟燒錄機	刻錄機	1
免持	免提	1
內線交易	內幕交易	1
半形	半角	1
原始碼	源代碼	1
受薪階級	工薪階層	1
咖哩	咖喱	1
噴射式油墨印表機	噴墨式打印機	1
噴墨式印表機	噴墨打印機	1
國民住宅	經濟適用房	1
基改生物	遺傳修飾生物體	1
基因晶片	基因芯片	1
報導文學	報告文學	1
報酬率	回報率	1
多媒體簡訊	彩信	1
太保	阿飛	1
奈米	納米	1
奈米纖維	納米纖維	1
實況錄影	實況錄像	1
封面裡	封二	1
小綿羊	輕便摩托車	1
屈光率	光焦度	1
巡航飛彈	巡航導彈	1
帕拉林匹克運動會	殘疾人奧運會	1
引子	引物	1
彈道飛彈	彈道導彈	1
彈翻床	蹦床	1
後段班	慢班	1
感測網路	感測網絡	1
懼高	恐高	1
拘提	拘傳	1
指導教授	導師	1
數位化	數字化	1
數位照相機	數字相機	1
數位照相機	數碼照相機	1
智慧卡	集成電路卡	1
染色分體	染色單體	1
格林威治時間	格林尼治時間	1
