# 中華語文大辭典
# https://github.com/g0v/moedict-data-csld/blob/master/中華語文大辭典全稿-20160620.csv
# 对应中華語文知識庫（台灣版）数据；
#
# 正體字形	簡化字形	字詞流水序	音序	臺／陸特有詞	臺／陸特有音	臺灣漢拼	大陸漢拼

一本萬殊	一本万殊	1000010117				yìběn-wànshū	yīběn-wànshū
一石二鳥	一石二鸟	1000010118				yìshí-èrniǎo	yīshí-èrniǎo
一石兩鳥	一石两鸟	1000010119				yìshí-liǎnɡniǎo	yīshí-liǎnɡniǎo
一以貫之	一以贯之	1000010120				yīyǐɡuànzhī	
一以當十	一以当十	1000010121				yīyǐdānɡshí	
一卡多號	一卡多号	1000010122				yìkǎ-duōhào	yīkǎ-duōhào
一卡通	一卡通	1000010123				yìkǎtōnɡ	yīkǎtōnɡ
一旦		1000010124				yídàn	yīdàn
一目		1000010125				yímù	yīmù
一目十行		1000010126				yímù-shíhánɡ	yīmù-shíhánɡ
一目了然	一目了然	1000010127				yímù-liǎorán	yīmù-liǎorán
一目瞭然	一目了然	1000010128				yímù-liǎorán	yīmù-liǎorán
一甲		1000010129				yìjiǎ	yījiǎ
一甲子		1000010130				yìjiǎzǐ	yījiǎzǐ
一令	一令	1000010131				yílìnɡ	yīlǐnɡ
一生		1000010132				yìshēnɡ	yīshēnɡ
一生一世		1000010133				yìshēnɡ-yíshì	yīshēnɡ-yīshì
一失足成千古恨		1000010134				yì shīzú chénɡ qiānɡǔ hèn	yī shīzú chénɡ qiānɡǔ hèn
一丘之貉		1000010135				yìqiūzhīhé	yīqiūzhīhé
一代		1000010136				yídài	yīdài
一代風流	一代风流	1000010137				yídài-fēnɡliú	yīdài-fēnɡliú
一代紅妝	一代红妆	1000010138				yídài-hónɡzhuānɡ	yīdài-hónɡzhuānɡ
一加二咖啡	一加二咖啡	1000010139		★		yījiā’èr kāfēi	
一江風	一江风	1000010140				yìjiānɡfēnɡ	yījiānɡfēnɡ
一字一板	一字一板	1000010141				yízì-yìbǎn	yīzì-yībǎn
一字千金		1000010142				yízì-qiānjīn	yīzì-qiānjīn
一字不易		1000010143				yízì-búyì	yīzì-bùyì
一字不漏	一字不漏	1000010144				yízì-búlòu	yīzì-bùlòu
一字長蛇陣	一字长蛇阵	1000010145				yízì chánɡshézhèn	yīzì chánɡshézhèn
一字師	一字师	1000010146				yízìshī	yīzìshī
一字褒貶	一字褒贬	1000010147				yízì-bāobiǎn	yīzì-bāobiǎn
一字禪	一字禅	1000010148				yízìchán	yīzìchán
一交		1000010149				yìjiāo	yījiāo
一衣帶水	一衣带水	1000010150				yìyīdàishuǐ	yīyīdàishuǐ
一米線	一米线	1000010151		★		yìmǐxiàn	yīmǐxiàn
一戎衣		1000010152				yìrónɡyī	yīrónɡyī
一次方程式	一次方程式	1000010154				yícì fānɡchénɡshì	yīcì fānɡchénɡshì
一次性	一次性	1000010155		★		yícìxìnɡ	yīcìxìnɡ
一次性杯子	一次性杯子	1000010156		★		yícìxìnɡ bēizi	yīcìxìnɡ bēizi
一次性筷子	一次性筷子	1000010157		★		yícìxìnɡ kuàizi	yīcìxìnɡ kuàizi
一次能源	一次能源	1000010158				yícì nénɡyuán	yīcì nénɡyuán
一地	一地	1000010159				yídì	yīdì
一地兩檢	一地两检	1000010160		★		yídì-liǎnɡjiǎn	yīdì-liǎnɡjiǎn
一共		1000010161				yíɡònɡ	yīɡònɡ
一再		1000010162				yízài	yīzài
一死兒	一死儿	1000010164				yìsěr	yīsǐr
一成		1000010165				yìchénɡ	yīchénɡ
一成一旅		1000010166				yìchénɡ-yìlǚ	yīchénɡ-yīlǚ
一成不變	一成不变	1000010167				yìchénɡ-búbiàn	yīchénɡ-bùbiàn
一扠		1000010168				yìzhǎ	yīzhǎ
一早		1000010169				yìzǎo	yīzǎo
一吐為快	一吐为快	1000010171				yìtǔ-wéikuài	yītǔ-wéikuài
一曲		1000010172	2			yìqǔ	yīqǔ
一曲		1000010172	1			yìqū	yīqū
一同		1000010173				yìtónɡ	yītónɡ
一帆風順	一帆风顺	1000010174				yìfán-fēnɡshùn	yīfān-fēnɡshùn
一回		1000010175				yìhuí	yīhuí
一回生，兩回熟	一回生，两回熟	1000010176				yìhuíshēnɡ,liǎnɡhuíshóu	yīhuíshēnɡ,liǎnɡhuíshú
一回事		1000010177				yìhuíshì	yīhuíshì
一合		1000010178				yìhé	yīhé
一年半載	一年半载	1000010179				yìnián-bànzǎi	yīnián-bànzǎi
一年四季	一年四季	1000010180				yìnián-sìjì	yīnián-sìjì
一年生		1000010181				yìniánshēnɡ	yīniánshēnɡ
一年生植物		1000010182				yìniánshēnɡ zhíwù	yīniánshēnɡ zhíwù
一年到頭	一年到头	1000010183				yìnián-dàotóu	yīnián-dàotóu
一任	一任	1000010184				yírèn	yīrèn
一份		1000010185				yífèn	yīfèn
一向		1000010187				yíxiànɡ	yīxiànɡ
一行		1000010188	1			yìxínɡ	yīxínɡ
一行		1000010188	2			yìhánɡ	yīhánɡ
一行人		1000010189				yìxínɡrén	yīxínɡrén
一名		1000010191				yìmínɡ	yīmínɡ
一色		1000010193				yísè	yīsè
一如	一如	1000010194				yìrú	yīrú
一如既往	一如既往	1000010195				yìrú-jìwǎnɡ	yīrú-jìwǎnɡ
一決勝負	一决胜负	1000010197				yìjué-shènɡfù	yījué-shènɡfù
一決雌雄	一决雌雄	1000010198				yìjué-cīxiónɡ	yījué-cíxiónɡ
一言		1000010199				yìyán	yīyán
一言一行		1000010200				yìyán-yìxínɡ	yīyán-yīxínɡ
一言九鼎		1000010201				yìyán-jiǔdǐnɡ	yīyán-jiǔdǐnɡ
一言不合		1000010202				yìyán-bùhé	yīyán-bùhé
一言以蔽之	一言以蔽之	1000010204				yì yán yǐ bì zhī	yī yán yǐ bì zhī
一言為定	一言为定	1000010205				yìyán-wéidìnɡ	yīyán-wéidìnɡ
一言既出，駟馬難追	一言既出，驷马难追	1000010206				yìyán-jìchū,sìmǎ-nánzhuī	yīyán-jìchū,sìmǎ-nánzhuī
一言堂		1000010207				yìyántánɡ	yīyántánɡ
一言喪邦	一言丧邦	1000010208				yìyán-sànɡbānɡ	yīyán-sànɡbānɡ
一言蔽之	一言蔽之	1000010209				yìyán-bìzhī	yīyán-bìzhī
一言興邦	一言兴邦	1000010210				yìyán-xīnɡbānɡ	yīyán-xīnɡbānɡ
一言難盡	一言难尽	1000010211				yìyán-nánjìn	yīyán-nánjìn
一走了之		1000010212				yìzǒu-liǎozhī	yīzǒu-liǎozhī
一劫		1000010213				yìjié	yījié
