# 臺灣華語文能力基準（TBCL）詞語表 （202504版）
# https://coct.naer.edu.tw/page.jsp?ID=41
# 三等七級14,425個詞的詞語表
#
# word	id	bopomofo	pinyin	deng	ji	situation	wfreq	sfreq

時間	113	ㄕˊ ㄐㄧㄢ	shíjiān	基礎	第1級	核心詞	865	1063
手機	114	ㄕㄡˇ ㄐㄧ	shǒujī	基礎	第1級	社交、人際	39	61
書	115	ㄕㄨ	shū	基礎	第1級	核心詞	767	457
水	116	ㄕㄨㄟˇ	shuǐ	基礎	第1級	核心詞	342	1245
睡覺	117	ㄕㄨㄟˋ ㄐㄧㄠˋ	shuìjiào	基礎	第1級	核心詞	65	88
說	118	ㄕㄨㄛ	shuō	基礎	第1級	核心詞	5312	6283
四	119	ㄙˋ	sì	基礎	第1級	核心詞	553	423
歲	120	ㄙㄨㄟˋ	suì	基礎	第1級	核心詞	574	521
她	121	ㄊㄚ	tā	基礎	第1級	核心詞	4568	2329
他	122	ㄊㄚ	tā	基礎	第1級	核心詞	10261	6366
太	123	ㄊㄞˋ	tài	基礎	第1級	核心詞	718	891
太太	124	ㄊㄞˋ ˙ㄊㄞ	tàitai	基礎	第1級	核心詞	276	131
台灣/臺灣	125	ㄊㄞˊ ㄨㄢ	táiwān	基礎	第1級	個人資料	522	1445
臺灣人/台灣人	126	ㄊㄞˊ ㄨㄢ ㄖㄣˊ	táiwānrén	基礎	第1級	個人資料	5	11
他們	127	ㄊㄚ ˙ㄇㄣ	tāmen	基礎	第1級	核心詞	2945	3036
天	128	ㄊㄧㄢ	tiān	基礎	第1級	核心詞	1520	1616
聽	129	ㄊㄧㄥ	tīng	基礎	第1級	核心詞	615	409
同學	130	ㄊㄨㄥˊ ㄒㄩㄝˊ	tóngxué	基礎	第1級	核心詞	106	267
外	131	ㄨㄞˋ	wài	基礎	第1級	核心詞	388	298
晚安	132	ㄨㄢˇ ㄢ	wǎnān	基礎	第1級	核心詞	7	6
晚上	133	ㄨㄢˇ ㄕㄤˋ	wǎnshàng	基礎	第1級	核心詞	189	188
位	134	ㄨㄟˋ	wèi	基礎	第1級	核心詞	1145	1031
問	135	ㄨㄣˋ	wèn	基礎	第1級	核心詞	694	451
問題	136	ㄨㄣˋ ㄊㄧˊ	wèntí	基礎	第1級	核心詞	1138	1105
我	137	ㄨㄛˇ	wǒ	基礎	第1級	核心詞	13149	16244
我們	138	ㄨㄛˇ ˙ㄇㄣ	wǒmen	基礎	第1級	核心詞	4150	12537
五	139	ㄨˇ	wǔ	基礎	第1級	核心詞	444	360
想	140	ㄒㄧㄤˇ	xiǎng	基礎	第1級	核心詞	1876	2025
先生	141	ㄒㄧㄢ ㄕㄥ	xiānshēng	基礎	第1級	核心詞	862	274
現在	142	ㄒㄧㄢˋ ㄗㄞˋ	xiànzài	基礎	第1級	核心詞	884	2365
小	143	ㄒㄧㄠˇ	xiǎo	基礎	第1級	核心詞	1281	1334
小孩/小孩子	144	ㄒㄧㄠˇ ㄏㄞˊ / ㄒㄧㄠˇ ㄏㄞˊ ˙ㄗ	xiǎohái / xiǎoháizi	基礎	第1級	核心詞	240	547
小姐	145	ㄒㄧㄠˇ ㄐㄧㄝˇ	xiǎojiě	基礎	第1級	核心詞	273	50
小時	146	ㄒㄧㄠˇ ㄕˊ	xiǎoshí	基礎	第1級	核心詞	227	228
下午	147	ㄒㄧㄚˋ ㄨˇ	xiàwǔ	基礎	第1級	核心詞	83	64
寫	148	ㄒㄧㄝˇ	xiě	基礎	第1級	核心詞	473	410
謝謝	149	ㄒㄧㄝˋ ˙ㄒㄧㄝ	xièxie	基礎	第1級	核心詞	63	593
喜歡	150	ㄒㄧˇ ㄏㄨㄢ	xǐhuān	基礎	第1級	核心詞	494	577
新	151	ㄒㄧㄣ	xīn	基礎	第1級	核心詞	822	686
姓名	152	ㄒㄧㄥˋ ㄇㄧㄥˊ	xìngmíng	基礎	第1級	核心詞	22	3
星期天/星期日	153	ㄒㄧㄥ ㄑㄧˊ ㄊㄧㄢ / ㄒㄧㄥ ㄑㄧˊ ㄖˋ	xīngqítiān / xīngqírì	基礎	第1級	核心詞	17	10
星期一	154	ㄒㄧㄥ ㄑㄧˊ ㄧ	xīngqíyī	基礎	第1級	核心詞	10	8
學	155	ㄒㄩㄝˊ	xué	基礎	第1級	核心詞	206	359
學生	156	ㄒㄩㄝˊ ㄕㄥ	xuéshēng	基礎	第1級	核心詞	418	303
學校	157	ㄒㄩㄝˊ ㄒㄧㄠˋ	xuéxiào	基礎	第1級	教育、學習	303	497
要	158	ㄧㄠˋ	yào	基礎	第1級	核心詞	3541	7742
也	159	ㄧㄝˇ	yě	基礎	第1級	核心詞	6312	7341
一	160	ㄧ	yī	基礎	第1級	核心詞	15058	16040
英文	161	ㄧㄥ ㄨㄣˊ	yīngwén	基礎	第1級	教育、學習	59	65
一起	162	ㄧˋ ㄑㄧˇ	yìqǐ	基礎	第1級	核心詞	337	718
醫生/醫師	163	ㄧ ㄕㄥ / ㄧ ㄕ	yīshēng / yīshī	基礎	第1級	身體、醫療	360	372
一月	164	ㄧ ㄩㄝˋ	yīyuè	基礎	第1級	核心詞	40	13
用	165	ㄩㄥˋ	yòng	基礎	第1級	核心詞	1521	2223
有	166	ㄧㄡˇ	yǒu	基礎	第1級	核心詞	8990	12724
元	167	ㄩㄢˊ	yuán	基礎	第1級	核心詞	220	122
月	168	ㄩㄝˋ	yuè	基礎	第1級	核心詞	463	737
再見	169	ㄗㄞˋ ㄐㄧㄢˋ	zàijiàn	基礎	第1級	核心詞	19	27
早	170	ㄗㄠˇ	zǎo	基礎	第1級	核心詞	248	240
早安	171	ㄗㄠˇ ㄢ	zǎoān	基礎	第1級	核心詞	6	4
早上	172	ㄗㄠˇ ㄕㄤˋ	zǎoshàng	基礎	第1級	核心詞	103	130
怎麼	173	ㄗㄣˇ ˙ㄇㄜ	zěnme	基礎	第1級	核心詞	570	1269
找	174	ㄓㄠˇ	zhǎo	基礎	第1級	核心詞	489	477
這	175	ㄓㄜˋ	zhè	基礎	第1級	核心詞	7822	17101
這裡/這裏/這兒	176	ㄓㄜˋ/ㄓㄜˋ ㄌㄧˇ/ㄓㄜˋ ㄦ	zhè/zhèlǐ/zhèr	基礎	第1級	核心詞	8975	15872
知道	177	ㄓ ㄉㄠˋ	zhīdào	基礎	第1級	核心詞	1488	1666
中文	178	ㄓㄨㄥ ㄨㄣˊ	zhōngwén	基礎	第1級	核心詞	36	38
中午	179	ㄓㄨㄥ ㄨˇ	zhōngwǔ	基礎	第1級	核心詞	30	41
字	180	ㄗˋ	zì	基礎	第1級	核心詞	284	171
走	181	ㄗㄡˇ	zǒu	基礎	第1級	核心詞	545	643
做	182	ㄗㄨㄛˋ	zuò	基礎	第1級	核心詞	1808	3593
坐	183	ㄗㄨㄛˋ	zuò	基礎	第1級	核心詞	406	240
昨天	184	ㄗㄨㄛˊ ㄊㄧㄢ	zuótiān	基礎	第1級	核心詞	53	84
矮	185	ㄞˇ	ǎi	基礎	第1*級	核心詞	29	13
白	186	ㄅㄞˊ	bái	基礎	第1*級	核心詞	208	167
飽	187	ㄅㄠˇ	bǎo	基礎	第1*級	核心詞	17	38
包子	188	ㄅㄠ ˙ㄗ	bāozi	基礎	第1*級	餐飲、烹飪	4	2
杯	189	ㄅㄟ	bēi	基礎	第1*級		94	84
杯子	190	ㄅㄟ ˙ㄗ	bēizi	基礎	第1*級	核心詞	108	118
筆	191	ㄅㄧˇ	bǐ	基礎	第1*級	核心詞	123	82
比	192	ㄅㄧˇ	bǐ	基礎	第1*級	核心詞	728	555
邊	193	ㄅㄧㄢ	biān	基礎	第1*級	核心詞	515	454
別	194	ㄅㄧㄝˊ	bié	基礎	第1*級	核心詞	306	142
冰	195	ㄅㄧㄥ	bīng	基礎	第1*級	餐飲、烹飪	31	105
病	196	ㄅㄧㄥˋ	bìng	基礎	第1*級	身體、醫療	131	149
鼻子/鼻	197	ㄅㄧˊ ˙ㄗ / ㄅㄧˊ	bízi / bí	基礎	第1*級	核心詞	69	31
