# 第一批异形词整理表
# 20011219-GF 1001-2001《第一批异形词整理表》
# http://xh.5156edu.com/page/z2137m9645j19351.html
# https://jwc.ytvc.edu.cn/info/1050/1214.htm
# 共338组异形词以及【附录】含有非规范字的异形词（共44组，序号A1-A44）
#
# 推荐词形	异形词	序号	拼音

按捺	按纳	1	ànnà
憔悴	蕉萃	225	qiáocuì
清澈	清彻	226	qīngchè
情愫	情素	227	qíngsù
拳拳	惓惓	228	quánquán
劝诫	劝戒	229	quànjiè
热乎乎	热呼呼	230	rèhūhū
热乎	热呼	231	rèhu
热衷	热中	232	rèzhōng
人才	人材	233	réncái
日食	日蚀	234	rìshí
入座	入坐	235	rùzuò
色彩	色采	236	sècǎi
杀一儆百	杀一警百	237	shāyī-jǐngbǎi
鲨鱼	沙鱼	238	shāyú
山楂	山查	239	shānzhā
舢板	舢舨	240	shānbǎn
艄公	梢公	241	shāogōng
奢靡	奢糜	242	shēmí
申雪	伸雪	243	shēnxuě
神采	神彩	244	shéncǎi
湿漉漉	湿渌渌	245	shīlūlū
什锦	十锦	246	shíjǐn
收服	收伏	247	shōufú
首座	首坐	248	shǒuzuò
书简	书柬	249	shūjiǎn
双簧	双𨱑	250	shuānghuáng
思维	思惟	251	sīwéi
死心塌地	死心踏地	252	sǐxīn-tādì
踏实	塌实	253	tāshi
甜菜	菾菜	254	tiáncài
铤而走险	挺而走险	255	tǐng’érzǒuxiǎn
透彻	透澈	256	tòuchè
图像	图象	257	túxiàng
推诿	推委	258	tuīwěi
玩意儿	玩艺儿	259	wányìr
魍魉	蝄蜽	260	wǎngliǎng
诿过	委过	261	wěiguò
乌七八糟	污七八糟	262	wūqībāzāo
无动于衷	无动于中	263	wúdòngyúzhōng
毋宁	无宁	264	wúnìng
毋庸	无庸	265	wúyōng
五彩缤纷	五采缤纷	266	wǔcǎi-bīnfēn
五劳七伤	五痨七伤	267	wǔláo-qīshāng
息肉	瘜肉	268	xīròu
稀罕	希罕	269	xīhan
稀奇	希奇	270	xīqí
稀少	希少	271	xīshǎo
稀世	希世	272	xīshì
稀有	希有	273	xīyǒu
翕动	噏动	274	xīdòng
洗练	洗炼	275	xǐliàn
贤惠	贤慧	276	xiánhuì
香醇	香纯	277	xiāngchún
香菇	香菰	278	xiānggū
相貌	像貌	279	xiàngmào
潇洒	萧洒	280	xiāosǎ
小题大做	小题大作	281	xiǎotí-dàzuò
卸载	卸傤	282	xièzài
信口开河	信口开合	283	xìnkǒu-kāihé
惺忪	惺松	284	xīngsōng
秀外慧中	秀外惠中	285	xiùwài-huìzhōng
序文	叙文	286	xùwén
序言	叙言	287	xùyán
训诫	训戒	288	xùnjiè
压服	压伏	289	yāfú
押韵	压韵	290	yāyùn
鸦片	雅片	291	yāpiàn
扬琴	洋琴	292	yángqín
要么	要末	293	yàome
夜宵	夜消	294	yèxiāo
一锤定音	一槌定音	295	yīchuí-dìngyīn
一股脑儿	一古脑儿	296	yīgǔnǎor
衣襟	衣衿	297	yījīn
衣着	衣著	298	yīzhuó
义无反顾	义无返顾	299	yìwúfǎngù
淫雨	霪雨	300	yínyǔ
盈余	赢余	301	yíngyú
影像	影象	302	yǐngxiàng
余晖	余辉	303	yúhuī
渔具	鱼具	304	yújù
渔网	鱼网	305	yúwǎng
与会	预会	306	yùhuì
与闻	预闻	307	yùwén
驭手	御手	308	yùshǒu
预备	豫备	309	yùbèi
原来	元来	310	yuánlái
原煤	元煤	311	yuánméi
原原本本	源源本本、元元本本	312	yuányuán-běnběn
缘故	原故	313	yuángù
缘由	原由	314	yuányóu
月食	月蚀	315	yuèshí
月牙	月芽	316	yuèyá
芸豆	云豆	317	yúndòu
杂沓	杂遝	318	zátà
再接再厉	再接再砺	319	zàijiē-zàilì
崭新	斩新	320	zhǎnxīn
辗转	展转	321	zhǎnzhuǎn
战栗	颤栗	322	zhànlì
