# 汉语拼音辞典-词语 word
# https://github.com/mapull/chinese-dictionary/blob/main/word/word.json
#
# 词语	拼音

AA制	AA zhì
潦污	lǎo wū
潦泡	lǎo pào
潦洌	lǎo liè
潦浆泡	lǎo jiāng pào
潦淖	lǎo nào
潦溢	lǎo yì
潦潦	lǎo lǎo
潦潦草草	liáo liáo cǎo cǎo
潦潮	lǎo cháo
潦灾	lǎo zāi
潦粪	lǎo fèn
潦草	liáo cǎo
潦草塞责	liáo cǎo sè zé
潦车	lǎo chē
潦雨	lǎo yǔ
潦鬼	lǎo guǐ
潨泻	cóng xiè
潨洞	cóng dòng
潨流	cóng liú
潨漴	cóng zhuàng
潨潨	cóng cóng
潨潺	cóng chán
潬潬	shàn shàn
潭井	tán jǐng
潭壑	tán hè
潭奥	tán ào
潭府	tán fǔ
潭思	tán sī
潭拖	tán tuō
潭沱	tán tuó
潭沲	tán tuó
潭涧	tán jiàn
潭渊	tán yuān
潭渚	tán zhǔ
潭潭	tán tán
潭濑	tán lài
潭瀹	tán yuè
潭积	tán jī
潭竹	tán zhú
潭笋	tán sǔn
潭腿	tán tuǐ
潭镜	tán jìng
潭陁	tán tuó
潭雝	tán yōng
潮乎乎	cháo hū hū
潮位	cháo wèi
潮信	cháo xìn
潮剧	cháo jù
潮呼呼	cháo hū hū
潮头	cháo tóu
潮气	cháo qì
潮水	cháo shuǐ
潮汐	cháo xī
潮汛	cháo xùn
潮流	cháo liú
潮涌	cháo yǒng
潮润	cháo rùn
潮涨潮落	cháo zhǎng cháo luò
潮湿	cháo shī
潮红	cháo hóng
潮绣	cháo xiù
潮解	cháo jiě
潮鸣电挚	cháo míng diàn chè
潮鸣电掣	cháo míng diàn chè
潲水	shào shuǐ
潴水	zhū shuǐ
潴泄	zhū xiè
潴泺	zhū luò
潴涨	zhū zhǎng
潴淤	zhū yū
潴溉	zhū gài
潴留	zhū liú
潴畜	zhū chù
潴蓄	zhū xù
潴薮	zhū sǒu
潵骨池	sǎ gǔ chí
潸怅	shān chàng
潸慨	shān kǎi
潸泫	shān xuàn
潸流	shān liú
潸潸	shān shān
潸然	shān rán
潸然泪下	shān rán lèi xià
潺泇	chán jiā
潺淙	chán cóng
潺湲	chán yuán
潺潺	chán chán
潺潺溶溶	chán chán róng róng
潺颜	chán yán
潼关	tóng guān
潼函	tóng hán
潼华	tóng huá
潼溶	tóng róng
潼滃	tóng wēng
潼潼	tóng tóng
潼激	tóng jī
潾涌	lín yǒng
潾潾	lín lín
澄净	chéng jìng
澄心涤虑	chéng xīn dí lǜ
澄思寂虑	chéng sī jì lǜ
澄思渺虑	chéng sī miǎo lǜ
澄江如练	chéng jiāng rú liàn
澄沙	dèng shā
澄沙汰砾	dèng shā tài lì
澄浆泥	chéng jiāng ní
澄清	chéng qīng
澄清天下	chéng qīng tiān xià
澄源正本	chéng yuán zhèng běn
澄澈	chéng chè
澄碧	chéng bì
澄神离形	chéng shén lí xíng
澄莹	chéng yíng
澈亮	chè liàng
澈声	chè shēng
澈夜	chè yè
澈底	chè dǐ
澈底澄清	chè dǐ chéng qīng
澈悟	chè wù
澈映	chè yìng
澈查	chè chá
澈漠	chè mò
澈究	chè jiū
澈虚	chè xū
澈透	chè tòu
澈骨	chè gǔ
澌亡	sī wáng
澌泯	sī mǐn
澌涣	sī huàn
澌澌	sī sī
澌灭	sī miè
澌灭无闻	sī miè wú wén
澍意	shù yì
澍泽	shù zé
澍流	shù liú
澍降	shù jiàng
澍雨	shù yǔ
澍霖	shù lín
澎汃	pēng bīn
澎浪矶	pēng làng jī
澎渀	pēng bèn
澎湃	pēng pài
澎湃汹涌	péng pài xiōng yǒng
澎湖	pēng hú
澎湖列岛	pēng hú liè dǎo
澎濞	pēng bì
澎胀	pēng zhàng
澎趐	pēng xuè
澐澐	yún yún
澔旰	hào gàn
澔汗	hào hàn
澔涆	hào hàn
澔澔涆涆	hào hào hàn hàn
澜倒波随	lán dǎo bō suí
澜文	lán wén
澜斑	lán bān
澜汍	lán wán
澜汗	lán hàn
澜沧江	lán cāng jiāng
澜波	lán bō
澜浪	lán làng
澜清	lán qīng
澜漫	lán màn
澜澜	lán lán
澜澳	lán ào
澜熳	lán màn
澜翻	lán fān
澜贱	lán jiàn
澟澟	lǐn lǐn
澟然	lǐn rán
澡刷	zǎo shuā
澡垢索疵	zǎo gòu suǒ cī
澡堂	zǎo táng
澡塘	zǎo táng
澡形	zǎo xíng
澡心	zǎo xīn
澡慰故俗	zǎo wèi gù sú
澡洗	zǎo xǐ
澡浴	zǎo yù
澡涤	zǎo dí
澡溉	zǎo gài
澡漱	zǎo shù
澡潄	zǎo shù
澡濯	zǎo zhuó
澡瀹	zǎo yuè
澡熨	zǎo yùn
澡熨故俗	zǎo yùn gù sú
澡瓶	zǎo píng
澡用	zǎo yòng
澡盆	zǎo pén
澡盘	zǎo pán
澡盥	zǎo guàn
澡祓	zǎo fú
澡练	zǎo liàn
澡罐	zǎo guàn
澡荡	zǎo dàng
澡行	zǎo xíng
澡豆	zǎo dòu
澡豆为饭	zǎo dòu wèi fàn
澡身	zǎo shēn
澡身浴德	zǎo shēn yù dé
澡雪	zǎo xuě
澡雪精神	zǎo xuě jīng shén
澣海	huàn hǎi
澣渚	huàn zhǔ
澥宇	xiè yǔ
澧兰沅芷	lǐ lán yuán zhǐ
澧水	lǐ shuǐ
澧沛	lǐ pèi
澧泉	lǐ quán
澧源	lǐ yuán
澧澧	lǐ lǐ
澫澫	wàn wàn
澳抗	ào kàng
澳门币	ào mén bì
澴波	huán bō
澴流	huán liú
澴潆	huán yíng
澶渊	chán yuān
澶渊之盟	chán yuān zhī méng
澶湉	chán tián
澶湲	chán yuán
澹台	tán tái
澹泊	dàn pō
澹泊寡欲	dàn bó guǎ yù
澹泊明志，宁静致远	dàn bó míng zhì，níng jìng zhì yuǎn
澹然	dàn rán
澼絖	pì kuàng
澾瀸	tà jiān
激光	jī guāng
激光刀	jī guāng dāo
激光器	jī guāng qì
激光武器	jī guāng wǔ qì
激光照排	jī guāng zhào pái
激切	jī qiè
激剧	jī jù
激动	jī dòng
激励	jī lì
激化	jī huà
激发	jī fā
激发态	jī fā tài
激变	jī biàn
激增	jī zēng
激奋	jī fèn
激将	jī jiàng
激将法	jī jiàng fǎ
激忿填膺	jī fèn tián yīng
激怒	jī nù
激情	jī qíng
激愤	jī fèn
激战	jī zhàn
激扬	jī yáng
激扬清浊	jī yáng qīng zhuó
激昂	jī áng
激昂慷慨	jī áng kāng kǎi
激昂青云	ji ang qing yun
激活	jī huó
激流	jī liú
激流勇退	jī liú yǒng tuì
激浊扬清	jī zhuó yáng qīng
激浪	jī làng
激灵	jī líng
激烈	jī liè
激磁	jī cí
激素	jī sù
激荡	jī dàng
激薄停浇	jī bó tíng jiāo
激贪厉俗	jī tān lì sú
激赏	jī shǎng
激起公愤	jī qǐ gōng fèn
激越	jī yuè
激进	jī jìn
濂洛	lián luò
濂洛关闽	lián luò guān mǐn
濂溪	lián xī
濅润	jìn rùn
濅淫	jìn yín
濆发	fén fā
濆旋	fén xuán
濆旋倾侧	fèn xuán qīng cè
濆沦	fén lún
濆沸	fén fèi
濆泉	fén quán
濆涌	fén yǒng
濆溢	fén yì
濆漩	fén xuán
濆激	fén jī
濆濞	fén bì
濆礴	fén bó
濆薄	fén báo
濆衍	fén yǎn
濇滞	sè zhì
濇濇	sè sè
濇脉	sè mài
濈湿	jí shī
濈濈	jí jí
濊泽	huì zé
濊濊	huì huì
濊貉	huì háo
濊貊	huì mò
濌伯	tà bó
濎泞	dǐng nìng
濎滢	dǐng yíng
濎濙	dǐng yíng
濎瀕	dǐng bīn
濏濏	sè sè
濒临	bīn lín
濒于	bīn yú
濒危	bīn wēi
濒死	bīn sǐ
濒绝	bīn jué
濖涨	shù zhǎng
濙濙	yíng yíng
濚洄	yíng huí
濚激	yíng jī
濞濞	bì bì
濠上	háo shàng
濠上之乐	háo shàng zhī lè
濠上观鱼	háo shàng guān yǔ
濠堑	háo qiàn
濠州真人	háo zhōu zhēn rén
濠梁	háo liáng
濠梁之上	háo liáng zhī shàng
濠梁之想	háo liáng zhī xiǎng
濠梁观鱼	háo liáng guān yú
濠沟	háo gōu
濠濮间想	háo pú jiān xiǎng
濡养	rú yǎng
濡写	rú xiě
濡化	rú huà
濡口	rú kǒu
濡墨	rú mò
濡头	rú tóu
濡如	rú rú
濡尾	rú wěi
濡弱	rú ruò
濡愞	rú nuò
濡染	rú rǎn
濡栉	rú zhì
濡毫	rú háo
濡沃	rú wò
濡没	rú méi
濡沫	rú mò
濡沫涸辙	rú mò hé zhé
濡沾	rú zhān
濡泃	rú jū
濡泄	rú xiè
濡泽	rú zé
濡洽	rú qià
濡浃	rú jiā
濡润	rú rùn
濡渥	rú wò
濡湿	rú shī
濡溺	rú nì
濡滞	rú zhì
濡濡	rú rú
濡濯	rú zhuó
濡煦	rú xù
濡笔	rú bǐ
濡缕	rú lǚ
濡肉	rú ròu
濡褐	rú hè
濡足	rú zú
濡迟	rú chí
濡迹	rú jì
濡需	rú xū
濡霈	rú pèi
濡须	rú xū
濡须坞	rú xū wù
濡首	rú shǒu
濡鹈	rú tí
濦濦	yǐn yǐn
濮上	pú shàng
濮上之音	pú shàng zhī yīn
濮上桑间	pú shàng sāng jiān
濮上风	pú shàng fēng
濮竹	pú zhú
濮议	pú yì
濮鈆	pú qiān
濮阳	pú yáng
濮阳市	pú yáng shì
濯摡	zhuó gài
濯摩	zhuó mó
濯曜罗	zhuó yào luó
濯枝	zhuó zhī
濯枝雨	zhuó zhī yǔ
濯污扬清	zhuó wū yáng qīng
濯沐	zhuó mù
濯洗	zhuó xǐ
濯浣	zhuó huàn
濯淖	zhuó nào
濯溉	zhuó gài
濯漱	zhuó shù
濯澡	zhuó zǎo
濯澣	zhuó huàn
濯濯	zhuó zhuó
濯濯童山	zhuó zhuó tóng shān
濯熏	zhuó xūn
濯盥	zhuó guàn
濯磨	zhuó mó
濯禊	zhuó xì
濯秀	zhuó xiù
濯缨	zhuó yīng
濯缨弹冠	zhuó yīng tán guān
濯缨沧浪	zhuó yīng cāng làng
濯缨洗耳	zhuó yīng xǐ ěr
濯缨濯足	zhuó yīng zhuó zú
濯贝	zhuó bèi
濯足	zhuó zú
濯足濯缨	zhuó zú zhuó yīng
濯锦江	zhuó jǐn jiāng
濯龙	zhuó lóng
瀄汩	zhì gǔ
瀋泚	shěn cǐ
瀋渃	shěn ruò
瀋略	shěn lüè
瀋索	shěn suǒ
瀋落	shěn luò
瀋铎	shěn duó
瀌瀌	biāo biāo
瀍洛	chán luò
瀍涧	chán jiàn
瀍邙	chán máng
瀎泧	mò sà
瀎潏	mò yù
瀎破	mò pò
瀑布	pù bù
瀑水	pù shuǐ
瀑沫	pù mò
瀑泉	pù quán
瀑流	pù liú
瀑溜	pù liū
瀑练	pù liàn
瀖泋	huò huì
瀖瀋	huò shěn
瀚海	hàn hǎi
瀛仙	yíng xiān
瀛台	yíng tái
瀛国	yíng guó
瀛坞	yíng wù
瀛壖	yíng ruán
瀛壶	yíng hú
瀛寰	yíng huán
瀛州	yíng zhōu
瀛洲	yíng zhōu
瀛洲玉雨	yíng zhōu yù yǔ
瀛海	yíng hǎi
瀛渤	yíng bó
瀛溶	yíng róng
瀛澥	yíng xiè
瀛瀛	yíng yíng
瀛环	yíng huán
瀛眷	yíng juàn
瀛表	yíng biǎo
瀛谈	yíng tán
瀛选	yíng xuǎn
瀛阆	yíng láng
瀛馆	yíng guǎn
瀜瀜	róng róng
瀢沱	wěi tuó
瀢瀢	wěi wěi
瀣气	xiè qì
瀣沆	xiè hàng
瀤泽	huái zé
瀥漭	xuè mǎng
瀥瀑	xuè pù
瀥瀥	xuè xuè
瀯瀯	yíng yíng
瀴溟	yíng míng
瀵泉	fèn quán
瀷渕	yì yuān
瀸污	jiān wū
瀸洳	jiān rù
瀸润	jiān rùn
瀸淖	jiān nào
瀸渍	jiān zì
瀸濇	jiān sè
瀸积	jiān jī
瀹疏	yuè shū
瀹祭	yuè jì
瀹茗	yuè míng
瀹茶	yuè chá
瀹莊	yuè zhuāng
瀼瀼	ráng ráng
瀽瓮番盆	jiǎn wèng fān pén
瀽穴	jiǎn xué
灂灂	zhuó zhuó
灇灇	cóng cóng
灊岳	qián yuè
灊庐	qián lú
灊皖	qián wǎn
灌制	guàn zhì
灌区	guàn qū
灌口二郎神	guàn kǒu èr láng shén
灌坛梦哭	guàn tán mèng kū
灌夫骂坐	guàn fū mà zuò
灌夫骂座	guàn fū mà zuò
灌录	guàn lù
灌木	guàn mù
灌水	guàn shuǐ
灌水球浮	guàn shuǐ qiú fú
灌注	guàn zhù
灌浆	guàn jiāng
灌溉	guàn gài
灌瓜之义	guàn guā zhī yì
灌篮	guàn lán
灌米汤	guàn mǐ tāng
灌肠	guàn cháng
灌装	guàn zhuāng
灌输	guàn shū
灌音	guàn yīn
灌顶	guàn dǐng
灏博	hào bó
灏噩	hào è
灏气	hào qì
灏汗	hào hàn
灏溔	hào yǎo
灏漫	hào màn
灏瀚	hào hàn
灏瀥	hào xuè
灏灏	hào hào
灏茫	hào máng
灏露	hào lù
灓水	luán shuǐ
灙漭	dǎng mǎng
灞上	bà shàng
灞亭	bà tíng
灞桥	bà qiáo
灞池	bà chí
灞浐	bà chǎn
灞陵	bà líng
灞陵风雨	bà líng fēng yǔ
灟灟	zhú zhú
灦焕	xiǎn huàn
灪滃	yù wēng
火丁	huǒ dīng
火上加油	huǒ shàng jiā yóu
火上弄冬凌	huǒ shàng nòng dōng líng
火上弄冰	huǒ shàng nòng bīng
火上弄冰凌	huǒ shàng nòng bīng líng
火上弄冻凌	huǒ shàng nòng dòng líng
火上弄雪	huǒ shàng nòng xuě
火上浇油	huǒ shàng jiāo yóu
火上添油	huǒ shàng tiān yóu
火不思	huǒ bù sī
火不登	huǒ bù dēng
火不腾	huǒ bù téng
火丞	huǒ chéng
火中取栗	huǒ zhōng qǔ lì
火中生莲	huǒ zhōng shēng lián
火中莲	huǒ zhōng lián
火丹	huǒ dān
火主	huǒ zhǔ
火乌	huǒ wū
火事	huǒ shì
火云	huǒ yún
火井	huǒ jǐng
火亮	huǒ liàng
火人	huǒ rén
火仓	huǒ cāng
火令	huǒ lìng
火伍	huǒ wǔ
火伏	huǒ fú
火伞	huǒ sǎn
火伞张	huǒ sǎn zhāng
火伞高张	huǒ sǎn gāo zhāng
火传	huǒ chuán
火传穷薪	huǒ chuán qióng xīn
火伯	huǒ bó
火伴	huǒ bàn
火位	huǒ wèi
火体	huǒ tǐ
火作	huǒ zuò
火候	huǒ hòu
火儿	huǒ ér
火兆	huǒ zhào
火光	huǒ guāng
火光兽	huǒ guāng shòu
火光冲天	huǒ guāng chōng tiān
火光烛天	huǒ guāng zhú tiān
火兜墙	huǒ dōu qiáng
火兵	huǒ bīng
火具	huǒ jù
火冒三丈	huǒ mào sān zhàng
火冒三尺	huǒ mào sān chǐ
火冕	huǒ miǎn
火冲冲	huǒ chōng chōng
火凤	huǒ fèng
火刀	huǒ dāo
火刑	huǒ xíng
火列星屯	huǒ liè xīng tún
火刘	huǒ liú
火判	huǒ pàn
火到猪头烂，钱到公事办	huǒ dào zhū tóu làn，qián dào gōng shì bàn
火剂	huǒ jì
火剌剌	huǒ lá lá
火前	huǒ qián
火前春	huǒ qián chūn
火前花	huǒ qián huā
火前茶	huǒ qián chá
火剪	huǒ jiǎn
火力	huǒ lì
火力发电	huǒ lì fā diàn
火力圈	huǒ lì quān
火力点	huǒ lì diǎn
火力网	huǒ lì wǎng
火功	huǒ gōng
火劫	huǒ jié
火势	huǒ shì
火化	huǒ huà
火匝匝	huǒ zā zā
火华	huǒ huá
火卦	huǒ guà
火印	huǒ yìn
火厄	huǒ è
火历	huǒ lì
火厝	huǒ cuò
火叉	huǒ chā
火口湖	huǒ kǒu hú
火号	huǒ hào
火名	huǒ míng
火后	huǒ hòu
火味	huǒ wèi
火呼呼	huǒ hū hū
火器	huǒ qì
火囤	huǒ dùn
火地	huǒ dì
火场	huǒ chǎng
火坑	huǒ kēng
火坼	huǒ chè
火城	huǒ chéng
火塔子	huǒ tǎ zi
火塘	huǒ táng
火墙	huǒ qiáng
火壶卢	huǒ hú lú
火备	huǒ bèi
火天	huǒ tiān
火夫	huǒ fū
火头	huǒ tóu
火头上	huǒ tóu shàng
火头军	huǒ tóu jūn
火头食子	huǒ tóu shí zi
火夹	huǒ jiā
火奴鲁鲁	huǒ nú lǔ lǔ
火妻灰子	huǒ qī huī zǐ
火媒	huǒ méi
火子	huǒ zi
火孽	huǒ niè
火宅僧	huǒ zhái sēng
火宋	huǒ sòng
火官	huǒ guān
火实	huǒ shí
火宪	huǒ xiàn
火宫	huǒ gōng
火害	huǒ hài
火家	huǒ jiā
火宿	huǒ sù
火寸	huǒ cùn
火射	huǒ shè
火尽灰冷	huǒ jìn huī lěng
火尽薪传	huǒ jìn xīn chuán
火居	huǒ jū
火居道士	huǒ jū dào shì
火屑	huǒ xiè
火山	huǒ shān
火山口	huǒ shān kǒu
火山地震	huǒ shān dì zhèn
火山岛	huǒ shān dǎo
火山弹	huǒ shān dàn
火山汤海	huǒ shān tāng hǎi
火山锥	huǒ shān zhuī
火崩崩	huǒ bēng bēng
火州	huǒ zhōu
火工	huǒ gōng
火工品	huǒ gōng pǐn
火工道人	huǒ gōng dào rén
火巷	huǒ xiàng
火布	huǒ bù
火师	huǒ shī
火帝	huǒ dì
火并	huǒ bìng
火床	huǒ chuáng
火序	huǒ xù
火库	huǒ kù
火引	huǒ yǐn
火弩	huǒ nǔ
火弹	huǒ dàn
火德	huǒ dé
火德星君	huǒ dé xīng jūn
火徼	huǒ jiǎo
火急	huǒ jí
火急火燎	huǒ jí huǒ liǎo
火性	huǒ xìng
火患	huǒ huàn
火情	huǒ qíng
火惹惹	huǒ rě rě
火戏	huǒ xì
火戏儿	huǒ xì ér
火成岩	huǒ chéng yán
火战	huǒ zhàn
火房	huǒ fáng
火所	huǒ suǒ
火把	huǒ bǎ
火把节	huǒ bǎ jié
火抓	huǒ zhuā
火拉拉	huǒ lā lā
火拚	huǒ pàn
火拼	huǒ pīn
火挟	huǒ xié
火捺	huǒ nà
火捻	huǒ niǎn
火攻	huǒ gōng
火政	huǒ zhèng
火数	huǒ shù
火斗	huǒ dòu
火斾	huǒ pèi
火旆	huǒ pèi
火旗	huǒ qí
火旛	huǒ fān
火日	huǒ rì
火星	huǒ xīng
火星乱冒	huǒ xīng luàn mào
火星运河	huǒ xīng yùn hé
火春	huǒ chūn
火昮	huǒ zòng
火景	huǒ jǐng
火暖	huǒ nuǎn
火暴	huǒ bào
火曜	huǒ yào
火曹	huǒ cáo
火术	huǒ shù
火杂杂	huǒ zá zá
火杏	huǒ xìng
火杴	huǒ xiān
火林	huǒ lín
火林山	huǒ lín shān
火枣	huǒ zǎo
火枪	huǒ qiāng
火柱	huǒ zhù
火柴	huǒ chái
火树	huǒ shù
火树星桥	huǒ shù xīng qiáo
火树琪花	huǒ shù qí huā
火树银花	huǒ shù yín huā
火栰	huǒ fá
火桶	huǒ tǒng
火棒	huǒ bàng
火棘	huǒ jí
火正	huǒ zhèng
火殃	huǒ yāng
火母	huǒ mǔ
火毒	huǒ dú
火毳	huǒ cuì
火气	huǒ qì
火气性	huǒ qì xìng
火池	huǒ chí
火油	huǒ yóu
火泉	huǒ quán
火洲	huǒ zhōu
火流	huǒ liú
火浣布	huǒ huàn bù
火浴	huǒ yù
火海	huǒ hǎi
火海刀山	huǒ hǎi dāo shān
火涂道	huǒ tú dào
火消	huǒ xiāo
火源	huǒ yuán
火漆	huǒ qī
火澣布	huǒ huàn bù
火火	huǒ huǒ
火火色色	huǒ huǒ sè sè
火灭烟消	huǒ miè yān xiāo
火灵	huǒ líng
火灶	huǒ zào
火灾	huǒ zāi
火炉	huǒ lú
火炎	huǒ yán
火炕	huǒ kàng
火炙	huǒ zhì
火炬	huǒ jù
火炭	huǒ tàn
火炮	huǒ pào
火炽	huǒ chì
火烈	huǒ liè
火烈鸟	huǒ liè niǎo
火烔	huǒ tóng
火烖	huǒ zāi
火烙印	huǒ lào yìn
火烛	huǒ zhú
火烛小心	huǒ zhú xiǎo xīn
火烛银花	huǒ zhú yín huā
火烟	huǒ yān
火烧	huǒ shāo
火烧云	huǒ shāo yún
火烧火燎	huǒ shāo huǒ liǎo
火烧眉毛	huǒ shāo méi máo
火烧祆庙	huǒ shāo xiān miào
火烧鳊	huǒ shāo biān
火烫	huǒ tàng
火烬	huǒ jìn
火烬灰冷	huǒ jìn huī lěng
火热	huǒ rè
火热水深	huǒ rè shuǐ shēn
火焰	huǒ yàn
火焰喷射器	huǒ yàn pēn shè qì
火焰山	huǒ yàn shān
火焰草	huǒ yàn cǎo
火焱	huǒ yàn
火然泉达	huǒ rán quán dá
火煤	huǒ méi
火煤子	huǒ méi zi
火熟	huǒ shú
火燎	huǒ liáo
火燧	huǒ suì
火燵	huǒ dá
火爆	huǒ bào
火牌	huǒ pái
火牛	huǒ niú
火牛阵	huǒ niú zhèn
火狐	huǒ hú
火狱	huǒ yù
火狸	huǒ lí
火玉	huǒ yù
火王	huǒ wáng
火珠	huǒ zhū
火珠首	huǒ zhū shǒu
火球	huǒ qiú
火瑞	huǒ ruì
火生莲	huǒ shēng lián
火田	huǒ tián
火甲	huǒ jiǎ
火电	huǒ diàn
火电站	huǒ diàn zhàn
火畜	huǒ chù
火盆	huǒ pén
火盆柿	huǒ pén shì
火眸	huǒ móu
火眼	huǒ yǎn
火眼金睛	huǒ yǎn jīn jīng
火矢	huǒ shǐ
火石	huǒ shí
火石袋	huǒ shí dài
火碱	huǒ jiǎn
火祆	huǒ xiān
火祖	huǒ zǔ
火神	huǒ shén
火祥	huǒ xiáng
火票	huǒ piào
火禁	huǒ jìn
火离	huǒ lí
火禽	huǒ qín
火种	huǒ zhǒng
火积	huǒ jī
火稻	huǒ dào
火突	huǒ tū
火笔画	huǒ bǐ huà
火符	huǒ fú
火笼	huǒ lóng
火筒	huǒ tǒng
火筯	huǒ zhù
火筴	huǒ cè
火筷子	huǒ kuài zi
火签	huǒ qiān
火箭	huǒ jiàn
火箭助飞鱼雷	huǒ jiàn zhù fēi yú léi
火箭弹	huǒ jiàn dàn
火箭炮	huǒ jiàn pào
火箭筒	huǒ jiàn tǒng
火箭飞机	huǒ jiàn fēi jī
火箱	huǒ xiāng
火箸	huǒ zhù
火米	huǒ mǐ
火粒	huǒ lì
火精	huǒ jīng
火精剑	huǒ jīng jiàn
火絶	huǒ jué
火红	huǒ hóng
火纸	huǒ zhǐ
火纸筒	huǒ zhǐ tǒng
火线	huǒ xiàn
火绒	huǒ róng
火绳	huǒ shéng
火维	huǒ wéi
火绵	huǒ mián
火绷绷	huǒ bēng bēng
火罐	huǒ guàn
火罐儿	huǒ guàn ér
火网	huǒ wǎng
火羊	huǒ yáng
火老	huǒ lǎo
火者	huǒ zhě
火耕	huǒ gēng
火耕水种	huǒ gēng shuǐ zhòng
火耕水耨	huǒ gēng shuǐ nòu
火耕流种	huǒ gēng liú zhǒng
火耗	huǒ hào
火耘	huǒ yún
火耨	huǒ nòu
火耨刀耕	huǒ nòu dāo gēng
火聚	huǒ jù
火脚	huǒ jiǎo
火脯	huǒ pú
火腿	huǒ tuǐ
火膏	huǒ gāo
火舌	huǒ shé
火舟	huǒ zhōu
火舫	huǒ fǎng
火舰	huǒ jiàn
火舱	huǒ cāng
火船	huǒ chuán
火色	huǒ sè
火艾	huǒ ài
火节	huǒ jié
火芝	huǒ zhī
火花	huǒ huā
火花塞	huǒ huā sāi
火苗	huǒ miáo
火药	huǒ yào
火药味	huǒ yào wèi
火落	huǒ luò
火葫芦	huǒ hú lú
火葬	huǒ zàng
火蓼	huǒ liǎo
火藏	huǒ cáng
火虞	huǒ yú
火虬	huǒ qiú
火蚕	huǒ cán
火蚕绵	huǒ cán mián
火蛾	huǒ é
火蜃	huǒ shèn
火行	huǒ xíng
火见	huǒ jiàn
火角	huǒ jiǎo
火警	huǒ jǐng
火计	huǒ jì
火记	huǒ jì
火证	huǒ zhèng
火谷	huǒ gǔ
火赤	huǒ chì
火赫	huǒ hè
火踏子	huǒ tà zi
火车	huǒ chē
火车头	huǒ chē tóu
火轮	huǒ lún
火轮神舟	huǒ lún shén zhōu
火轮船	huǒ lún chuán
火轮车	huǒ lún chē
火辎	huǒ zī
火辣	huǒ là
火辣辣	huǒ là là
火辰	huǒ chén
火运	huǒ yùn
火迫	huǒ pò
火迫醓侯	huǒ pò tǎn hóu
火递	huǒ dì
火逝	huǒ shì
火速	huǒ sù
火遁	huǒ dùn
火道	huǒ dào
火酒	huǒ jiǔ
火采	huǒ cǎi
火里火发	huǒ lǐ huǒ fā
火里赤	huǒ lǐ chì
火鉴	huǒ jiàn
火鎌	huǒ lián
火鎗	huǒ qiāng
火针	huǒ zhēn
火针疗法	huǒ zhēn liáo fǎ
火钟	huǒ zhōng
火钩	huǒ gōu
火钳	huǒ qián
火钵	huǒ bō
火钻	huǒ zuān
火铃	huǒ líng
火铅	huǒ qiān
火铳	huǒ chòng
火铺	huǒ pù
火锅	huǒ guō
火锹	huǒ qiāo
火镜	huǒ jìng
火镰	huǒ lián
火长	huǒ zhǎng
火门	huǒ mén
火阁	huǒ gé
火队	huǒ duì
火阳	huǒ yáng
火阵	huǒ zhèn
火院	huǒ yuàn
火院家私	huǒ yuàn jiā sī
火险	huǒ xiǎn
火雷	huǒ léi
火鞭	huǒ biān
火风	huǒ fēng
火食	huǒ shí
火饭	huǒ fàn
火马	huǒ mǎ
火驰	huǒ chí
火鱼	huǒ yú
火鸟	huǒ niǎo
火鸡	huǒ jī
火鸦	huǒ yā
火鼓	huǒ gǔ
火鼠	huǒ shǔ
火鼠布	huǒ shǔ bù
火齐木难	huǒ jì mù nán
火齐汤	huǒ qí tāng
火齐珠	huǒ qí zhū
火齐镜	huǒ qí jìng
火龙	huǒ lóng
火龙标	huǒ lóng biāo
火龙黼黻	huǒ lóng fǔ fú
灭不个	miè bù gè
灭不过	miè bù guò
灭亡	miè wáng
灭亲	miè qīn
灭伦	miè lún
灭刺	miè cì
灭劫	miè jié
灭化	miè huà
灭却	miè què
灭口	miè kǒu
灭名	miè míng
灭国	miè guó
灭失	miè shī
灭夷	miè yí
灭威	miè wēi
灭学	miè xué
灭宝	miè bǎo
灭度	miè dù
灭弃	miè qì
灭弗得	miè fú dé
灭德立违	miè dé lì wéi
灭性	miè xìng
灭息	miè xī
灭户	miè hù
灭抑	miè yì
灭拂	miè fú
灭收	miè shōu
灭族	miè zú
灭景	miè jǐng
灭景追风	miè yǐng zhuī fēng
灭杀	miè shā
灭此朝食	miè cǐ zhāo shí
灭殒	miè yǔn
灭沉	miè chén
灭没	miè méi
灭泯	miè mǐn
灭活	miè huó
灭澌	miè sī
灭火	miè huǒ
灭火器	miè huǒ qì
灭火机	miè huǒ jī
灭相	miè xiāng
灭磨	miè mó
灭祀	miè sì
灭私奉公	miè sī fèng gōng
灭种	miè zhǒng
灭絶	miè jué
灭绝	miè jué
灭绝人性	miè jué rén xìng
灭自己志气，长别人威风	miè zì jǐ zhì qì，zhǎng bié rén wēi fēng
灭茬	miè chá
灭虢取虞	miè guó qǔ yú
灭裂	miè liè
灭覆	miè fù
灭贴	miè tiē
灭身	miè shēn
灭迹	miè jì
灭门	miè mén
灭门之祸	miè mén zhī huò
灭门刺史	miè mén cì shǐ
灭门绝户	miè mén jué hù
灭除	miè chú
灭青	miè qīng
灭顶	miè dǐng
灭顶之灾	miè dǐng zhī zāi
灯下黑	dēng xià hēi
灯丝	dēng sī
灯亮儿	dēng liàng ér
灯会	dēng huì
灯伞	dēng sǎn
灯光	dēng guāng
灯具	dēng jù
灯台	dēng tái
