# 《国际中文教育中文水平等级标准》1-9级
# 20210324-GF 0025-2021《国际中文教育中文水平等级标准》.pdf
# https://github.com/shawkynasr/HSK-official-Query-System
# https://github.com/dawei7/new_hsk_scraping
# https://pandarin.net/new-hsk/
# http://www.davidpetersson.com/hsk-the-complete-hanban-lists-with-english-definitions/
# https://github.com/gigacool/hanyu-shuiping-kaoshi/blob/master/hsk.csv
#
# 备注，主要区别：
# - 称1（chèn）/称2（chēng）
# - 面1（脸面，方面）/面2（面条，繁体“麵、麪”）
#
# 词语	词性	拼音	序号	级别

新型	形	xīnxíng	3062	四级
兴奋	形	xīngfèn	3063	四级
形容	动	xíngróng	3064	四级
形势	名	xíngshì	3065	四级
型	名	xíng	3066	四级
型号	名	xínghào	3067	四级
醒	动	xǐng	3068	四级
兴趣	名	xìngqù	3069	四级
性质	名	xìngzhì	3070	四级
兄弟	名	xiōngdì	3071	四级
胸部	名	xiōngbù	3072	四级
修理	动	xiūlǐ	3073	四级
选择	动、名	xuǎnzé	3074	四级
学分	名	xuéfēn	3075	四级
学年	名	xuénián	3076	四级
学时	名	xuéshí	3077	四级
学术	名	xuéshù	3078	四级
学问	名	xuéwen	3079	四级
寻找	动	xúnzhǎo	3080	四级
迅速	形	xùnsù	3081	四级
牙	名	yá	3082	四级
牙刷	名	yáshuā	3083	四级
亚运会	名	Yàyùnhuì	3084	四级
呀	助	ya	3085	四级
延长	动	yáncháng	3086	四级
延期		yán∥qī	3087	四级
延续	动	yánxù	3088	四级
严	形	yán	3089	四级
严格	形、动	yángé	3090	四级
严重	形	yánzhòng	3091	四级
研究	动	yánjiū	3092	四级
研究生	名	yánjiūshēng	3093	四级
研制	动	yánzhì	3094	四级
盐	名	yán	3095	四级
眼镜	名	yǎnjìng	3096	四级
眼泪	名	yǎnlèi	3097	四级
眼里	名	yǎnli	3098	四级
演讲	动	yǎnjiǎng	3099	四级
阳台	名	yángtái	3100	四级
养成	动	yǎngchéng	3101	四级
腰	名	yāo	3102	四级
摇	动	yáo	3103	四级
药物	名	yàowù	3104	四级
要	连	yào	3105	四级
业余	形	yèyú	3106	四级
叶子	名	yèzi	3107	四级
医疗	动	yīliáo	3108	四级
医学	名	yīxué	3109	四级
依靠	动、名	yīkào	3110	四级
依然	副	yīrán	3111	四级
一律	副	yílǜ	3112	四级
一再	副	yízài	3113	四级
一致	形、副	yízhì	3114	四级
移	动	yí	3115	四级
移动	动	yídòng	3116	四级
移民	动、名	yímín	3117	四级
遗产	名	yíchǎn	3118	四级
遗传	动	yíchuán	3119	四级
疑问	名	yíwèn	3120	四级
以及	连	yǐjí	3121	四级
以内	名	yǐnèi	3122	四级
一般来说		yìbānláishuō	3123	四级
义务	名	yìwù	3124	四级
议论	动、名	yìlùn	3125	四级
引	动	yǐn	3126	四级
引导	动	yǐndǎo	3127	四级
引进	动	yǐnjìn	3128	四级
引起	动	yǐnqǐ	3129	四级
应	动	yīng	3130	四级
英勇	形	yīngyǒng	3131	四级
营业	动	yíngyè	3132	四级
赢得	动	yíngdé	3133	四级
影子	名	yǐngzi	3134	四级
勇敢	形	yǒnggǎn	3135	四级
勇气	名	yǒngqì	3136	四级
用途	名	yòngtú	3137	四级
优良	形	yōuliáng	3138	四级
优美	形	yōuměi	3139	四级
优秀	形	yōuxiù	3140	四级
邮局	名	yóujú	3141	四级
有劲儿		yǒu∥jìnr	3142	四级
有趣	形	yǒuqù	3143	四级
有限	形	yǒuxiàn	3144	四级
幼儿园	名	yòu’éryuán	3145	四级
于是	连	yúshì	3146	四级
语法	名	yǔfǎ	3147	四级
语音	名	yǔyīn	3148	四级
玉	名	yù	3149	四级
玉米	名	yùmǐ	3150	四级
预测	动	yùcè	3151	四级
预订	动	yùdìng	3152	四级
遇	动	yù	3153	四级
遇到		yùdào	3154	四级
遇见	动	yùjiàn	3155	四级
原料	名	yuánliào	3156	四级
原则	名	yuánzé	3157	四级
圆	形、名	yuán	3158	四级
圆满	形	yuánmǎn	3159	四级
约会	动、名	yuē·huì	3160	四级
月底	名	yuèdǐ	3161	四级
阅读	动	yuèdú	3162	四级
运动会	名	yùndònghuì	3163	四级
运动员	名	yùndòngyuán	3164	四级
运气	名	yùnqi	3165	四级
运用	动	yùnyòng	3166	四级
再三	副	zàisān	3167	四级
在乎	动	zàihu	3168	四级
在于	动	zàiyú	3169	四级
赞成	动	zànchéng	3170	四级
赞赏	动	zànshǎng	3171	四级
赞助	动	zànzhù	3172	四级
造型	名	zàoxíng	3173	四级
战斗	动、名	zhàndòu	3174	四级
战胜	动	zhànshèng	3175	四级
战士	名	zhànshì	3176	四级
战争	名	zhànzhēng	3177	四级
丈夫	名	zhàngfu	3178	四级
招呼	动	zhāohu	3179	四级
着	动	zháo	3180	四级
着火		zháo∥huǒ	3181	四级
着急		zháo∥jí	3182	四级
召开	动	zhàokāi	3183	四级
折	动	zhé	3184	四级
针	名	zhēn	3185	四级
针对	动	zhēnduì	3186	四级
阵	量	zhèn	3187	四级
争论	动	zhēnglùn	3188	四级
征服	动	zhēngfú	3189	四级
征求	动	zhēngqiú	3190	四级
政府	名	zhèngfǔ	3191	四级
政治	名	zhèngzhì	3192	四级
之后	名	zhīhòu	3193	四级
之间	名	zhījiān	3194	四级
之前	名	zhīqián	3195	四级
之一	名	zhīyī	3196	四级
支	动	zhī	3197	四级
植物	名	zhíwù	3198	四级
指挥	动、名	zhǐhuī	3199	四级
制订	动	zhìdìng	3200	四级
质量	名	zhìliàng	3201	四级
治	动	zhì	3202	四级
治疗	动	zhìliáo	3203	四级
智力	名	zhìlì	3204	四级
智能	名	zhìnéng	3205	四级
中介	名	zhōngjiè	3206	四级
种类	名	zhǒnglèi	3207	四级
中奖		zhòng∥jiǎng	3208	四级
种	动	zhòng	3209	四级
种植	动	zhòngzhí	3210	四级
重量	名	zhòngliàng	3211	四级
逐步	副	zhúbù	3212	四级
逐渐	副	zhújiàn	3213	四级
主题	名	zhǔtí	3214	四级
主席	名	zhǔxí	3215	四级
祝福	动	zhùfú	3216	四级
著名	形	zhùmíng	3217	四级
著作	名	zhùzuò	3218	四级
抓紧		zhuā∥jǐn	3219	四级
专心	形	zhuānxīn	3220	四级
转动	动	zhuǎndòng	3221	四级
转告	动	zhuǎngào	3222	四级
转身		zhuǎn∥shēn	3223	四级
转弯		zhuǎn∥wān	3224	四级
转移	动	zhuǎnyí	3225	四级
装修	动	zhuāngxiū	3226	四级
装置	动、名	zhuāngzhì	3227	四级
追求	动	zhuīqiú	3228	四级
准时	形	zhǔnshí	3229	四级
资料	名	zīliào	3230	四级
资源	名	zīyuán	3231	四级
自	介	zì	3232	四级
自信	动	zìxìn	3233	四级
字母	名	zìmǔ	3234	四级
综合	动	zōnghé	3235	四级
总共	副	zǒnggòng	3236	四级
总理	名	zǒnglǐ	3237	四级
总统	名	zǒngtǒng	3238	四级
总之	连	zǒngzhī	3239	四级
阻止	动	zǔzhǐ	3240	四级
嘴巴	名	zuǐba	3241	四级
最初	名	zuìchū	3242	四级
作出		zuòchū	3243	四级
作为	介、动	zuòwéi	3244	四级
做梦		zuò∥mèng	3245	四级
安慰	动、形	ānwèi	3246	五级
岸	名	àn	3247	五级
岸上		àn shang	3248	五级
按摩	动	ànmó	3249	五级
拔	动	bá	3250	五级
白酒	名	báijiǔ	3251	五级
拜访	动	bàifǎng	3252	五级
版	名	bǎn	3253	五级
扮演	动	bànyǎn	3254	五级
棒	形	bàng	3255	五级
包围	动	bāowéi	3256	五级
包装	动、名	bāozhuāng	3257	五级
保卫	动	bǎowèi	3258	五级
保养	动	bǎoyǎng	3259	五级
报答	动	bàodá	3260	五级
报警		bào∥jǐng	3261	五级
抱怨	动	bào·yuàn	3262	五级
背包	名	bēibāo	3263	五级
悲剧	名	bēijù	3264	五级
悲伤	形	bēishāng	3265	五级
北极	名	běijí	3266	五级
被动	形	bèidòng	3267	五级
辈	名	bèi	3268	五级
本人	代	běnrén	3269	五级
鼻子	名	bízi	3270	五级
比方	名、动	bǐfang	3271	五级
比重	名	bǐzhòng	3272	五级
彼此	代	bǐcǐ	3273	五级
必	副	bì	3274	五级
必需	动	bìxū	3275	五级
毕竟	副	bìjìng	3276	五级
闭幕		bì∥mù	3277	五级
闭幕式	名	bìmùshì	3278	五级
边境	名	biānjìng	3279	五级
编辑	动	biānjí	3280	五级
编辑	名	biānji	3281	五级
变动	动	biàndòng	3282	五级
便利	形、动	biànlì	3283	五级
便条	名	biàntiáo	3284	五级
便于	动	biànyú	3285	五级
宾馆	名	bīnguǎn	3286	五级
饼	名	bǐng	3287	五级
饼干	名	bǐnggān	3288	五级
病毒	名	bìngdú	3289	五级
玻璃	名	bōli	3290	五级
博客	名	bókè	3291	五级
博览会	名	bólǎnhuì	3292	五级
博士	名	bóshì	3293	五级
博物馆	名	bówùguǎn	3294	五级
薄弱	形	bóruò	3295	五级
不顾	动	búgù	3296	五级
不利	形	búlì	3297	五级
不耐烦		bú nàifán	3298	五级
不幸	形	búxìng	3299	五级
不易	形	búyì	3300	五级
补偿	动	bǔcháng	3301	五级
补贴	动、名	bǔtiē	3302	五级
不曾	副	bùcéng	3303	五级
不得了	形	bùdéliǎo	3304	五级
不敢当	动	bùgǎndāng	3305	五级
不良	形	bùliáng	3306	五级
不免	副	bùmiǎn	3307	五级
不能不		bù néng bù	3308	五级
不时	副	bùshí	3309	五级
不停		bù tíng	3310	五级
不许	动	bùxǔ	3311	五级
不止	动	bùzhǐ	3312	五级
不足	形、动	bùzú	3313	五级
部位	名	bùwèi	3314	五级
猜	动	cāi	3315	五级
猜测	动	cāicè	3316	五级
裁判	动、名	cáipàn	3317	五级
采购	动、名	cǎigòu	3318	五级
彩票	名	cǎipiào	3319	五级
餐馆	名	cānguǎn	3320	五级
餐厅	名	cāntīng	3321	五级
餐饮	名	cānyǐn	3322	五级
草原	名	cǎoyuán	3323	五级
册	量	cè	3324	五级
层次	名	céngcì	3325	五级
叉	动	chā	3326	五级
叉子	名	chāzi	3327	五级
差别	名	chābié	3328	五级
差距	名	chājù	3329	五级
插	动	chā	3330	五级
查询	动	cháxún	3331	五级
差（一）点儿	副	chà(yì)diǎnr	3332	五级
拆	动	chāi	3333	五级
拆除	动	chāichú	3334	五级
产业	名	chǎnyè	3335	五级
长度	名	chángdù	3336	五级
长寿	形	chángshòu	3337	五级
肠	名	cháng	3338	五级
尝	动	cháng	3339	五级
尝试	动、名	chángshì	3340	五级
厂长	名	chǎngzhǎng	3341	五级
场面	名	chǎngmiàn	3342	五级
倡导	动	chàngdǎo	3343	五级
超越	动	chāoyuè	3344	五级
车主	名	chēzhǔ	3345	五级
称2	动	chēng	3346	五级
称号	名	chēnghào	3347	五级
成本	名	chéngběn	3348	五级
成交		chéng∥jiāo	3349	五级
成效	名	chéngxiào	3350	五级
成语	名	chéngyǔ	3351	五级
承办	动	chéngbàn	3352	五级
城里	名	chénglǐ	3353	五级
乘	动	chéng	3354	五级
乘车		chéng chē	3355	五级
乘客	名	chéngkè	3356	五级
乘坐	动	chéngzuò	3357	五级
吃力	形	chīlì	3358	五级
池子	名	chízi	3359	五级
迟	形	chí	3360	五级
冲动	名、形	chōngdòng	3361	五级
冲突	动、名	chōngtū	3362	五级
充足	形	chōngzú	3363	五级
愁	动	chóu	3364	五级
丑	形	chǒu	3365	五级
臭	形	chòu	3366	五级
出版	动	chūbǎn	3367	五级
出差		chū∥chāi	3368	五级
出汗		chū∥hàn	3369	五级
出于	动	chūyú	3370	五级
初期	名	chūqī	3371	五级
除非	连、介	chúfēi	3372	五级
除夕	名	chúxī	3373	五级
厨房	名	chúfáng	3374	五级
处罚	动、名	chǔfá	3375	五级
处分	名、动	chǔfèn	3376	五级
处在	动	chǔzài	3377	五级
传达	动	chuándá	3378	五级
传递	动	chuándì	3379	五级
传真	名、动	chuánzhēn	3380	五级
窗帘	名	chuānglián	3381	五级
闯	动	chuǎng	3382	五级
创立	动	chuànglì	3383	五级
辞典	名	cídiǎn	3384	五级
辞职		cí∥zhí	3385	五级
此后	名	cǐhòu	3386	五级
此刻	名	cǐkè	3387	五级
此时	名	cǐshí	3388	五级
聪明	形	cōng·míng	3389	五级
从而	连	cóng’ér	3390	五级
从中	副	cóngzhōng	3391	五级
脆	形	cuì	3392	五级
存款	名	cúnkuǎn	3393	五级
寸	量	cùn	3394	五级
达成	动	dáchéng	3395	五级
答	动	dá	3396	五级
答复	动、名	dá·fù	3397	五级
打	介	dǎ	3398	五级
打扮	动	dǎban	3399	五级
打包		dǎ∥bāo	3400	五级
打击	动	dǎjī	3401	五级
打架		dǎ∥jià	3402	五级
打扰	动	dǎrǎo	3403	五级
大胆	形	dàdǎn	3404	五级
大都	副	dàdū	3405	五级
大纲	名	dàgāng	3406	五级
大伙儿	代	dàhuǒr	3407	五级
大奖赛	名	dàjiǎngsài	3408	五级
大脑	名	dànǎo	3409	五级
大事	名	dàshì	3410	五级
大厅	名	dàtīng	3411	五级
大象	名	dàxiàng	3412	五级
大熊猫	名	dàxióngmāo	3413	五级
大于	动	dàyú	3414	五级
大致	形、副	dàzhì	3415	五级
呆	形	dāi	3416	五级
待	动	dāi	3417	五级
代价	名	dàijià	3418	五级
代理	动	dàilǐ	3419	五级
带有		dàiyǒu	3420	五级
贷款	动、名	dàikuǎn	3421	五级
单一	形	dānyī	3422	五级
胆	名	dǎn	3423	五级
胆小	形	dǎnxiǎo	3424	五级
蛋糕	名	dàngāo	3425	五级
当场	副	dāngchǎng	3426	五级
当代	名	dāngdài	3427	五级
当年	名	dāngnián	3428	五级
当前	名、动	dāngqián	3429	五级
当选	动	dāngxuǎn	3430	五级
挡	动	dǎng	3431	五级
到来	动	dàolái	3432	五级
倒是	副	dàoshì	3433	五级
道德	名	dàodé	3434	五级
得了	动	déle	3435	五级
得以	动	déyǐ	3436	五级
等候	动	děnghòu	3437	五级
等级	名	děngjí	3438	五级
低于		dīyú	3439	五级
地带	名	dìdài	3440	五级
地形	名	dìxíng	3441	五级
地震	名、动	dìzhèn	3442	五级
递	动	dì	3443	五级
递给		dì gěi	3444	五级
典礼	名	diǎnlǐ	3445	五级
点燃	动	diǎnrán	3446	五级
电池	名	diànchí	3447	五级
电饭锅	名	diànfànguō	3448	五级
电子版	名	diànzǐbǎn	3449	五级
调动	动	diàodòng	3450	五级
丢	动	diū	3451	五级
动机	名	dòngjī	3452	五级
动手		dòng∥shǒu	3453	五级
动态	名	dòngtài	3454	五级
动员	动	dòngyuán	3455	五级
冻	动	dòng	3456	五级
洞	名	dòng	3457	五级
豆制品	名	dòuzhìpǐn	3458	五级
毒	名、动、形	dú	3459	五级
堆	动、名、量	duī	3460	五级
对立	动	duìlì	3461	五级
对应	动	duìyìng	3462	五级
吨	量	dūn	3463	五级
朵	量	duǒ	3464	五级
躲	动	duǒ	3465	五级
儿女	名	érnǚ	3466	五级
耳朵	名	ěrduo	3467	五级
二维码	名	èrwéimǎ	3468	五级
发布	动	fābù	3469	五级
发觉	动	fājué	3470	五级
发射	动	fāshè	3471	五级
发行	动	fāxíng	3472	五级
罚	动	fá	3473	五级
罚款	名	fákuǎn	3474	五级
法规	名	fǎguī	3475	五级
法制	名	fǎzhì	3476	五级
繁荣	形、动	fánróng	3477	五级
返回	动	fǎnhuí	3478	五级
防治	动	fángzhì	3479	五级
放大	动	fàngdà	3480	五级
放弃	动	fàngqì	3481	五级
分成		fēnchéng	3482	五级
分解	动	fēnjiě	3483	五级
分类		fēn∥lèi	3484	五级
分离	动	fēnlí	3485	五级
分析	动	fēnxī	3486	五级
分享	动	fēnxiǎng	3487	五级
丰收	动	fēngshōu	3488	五级
风度	名	fēngdù	3489	五级
风光	名	fēngguāng	3490	五级
封	动	fēng	3491	五级
疯	形	fēng	3492	五级
疯狂	形	fēngkuáng	3493	五级
扶	动	fú	3494	五级
服从	动	fúcóng	3495	五级
幅	量	fú	3496	五级
幅度	名	fúdù	3497	五级
福利	名	fúlì	3498	五级
辅助	动	fǔzhù	3499	五级
负责人	名	fùzérén	3500	五级
附件	名	fùjiàn	3501	五级
改革	动、名	gǎigé	3502	五级
干脆	形、副	gāncuì	3503	五级
干扰	动	gānrǎo	3504	五级
干预	动	gānyù	3505	五级
感想	名	gǎnxiǎng	3506	五级
钢笔	名	gāngbǐ	3507	五级
钢琴	名	gāngqín	3508	五级
高大	形	gāodà	3509	五级
高度	名、形	gāodù	3510	五级
高跟鞋	名	gāogēnxié	3511	五级
高温	名	gāowēn	3512	五级
高于	动	gāoyú	3513	五级
高原	名	gāoyuán	3514	五级
搞	动	gǎo	3515	五级
搞好		gǎohǎo	3516	五级
歌曲	名	gēqǔ	3517	五级
隔壁	名	gébì	3518	五级
个儿	名	gèr	3519	五级
跟前	名	gēnqián	3520	五级
跟随	动	gēnsuí	3521	五级
更换	动	gēnghuàn	3522	五级
更新	动	gēngxīn	3523	五级
工艺	名	gōngyì	3524	五级
工作日	名	gōngzuòrì	3525	五级
公告	名	gōnggào	3526	五级
公认	动	gōngrèn	3527	五级
公式	名	gōngshì	3528	五级
公正	形	gōngzhèng	3529	五级
共计	动	gòngjì	3530	五级
共享	动	gòngxiǎng	3531	五级
沟	名	gōu	3532	五级
沟通	动	gōutōng	3533	五级
估计	动	gūjì	3534	五级
古老	形	gǔlǎo	3535	五级
鼓	名、动	gǔ	3536	五级
鼓励	动、名	gǔlì	3537	五级
鼓掌		gǔ∥zhǎng	3538	五级
顾问	名	gùwèn	3539	五级
怪	动	guài	3540	五级
关怀	动	guānhuái	3541	五级
关键	名	guānjiàn	3542	五级
冠军	名	guànjūn	3543	五级
光荣	形、名	guāngróng	3544	五级
光线	名	guāngxiàn	3545	五级
广	形	guǎng	3546	五级
广泛	形	guǎngfàn	3547	五级
规划	名、动	guīhuà	3548	五级
鬼	名	guǐ	3549	五级
柜子	名	guìzi	3550	五级
滚	动	gǔn	3551	五级
锅	名	guō	3552	五级
国籍	名	guójí	3553	五级
国民	名	guómín	3554	五级
过度	形	guòdù	3555	五级
过敏	动、形	guòmǐn	3556	五级
过于	副	guòyú	3557	五级
害	名、动	hài	3558	五级
汗	名	hàn	3559	五级
好运	名	hǎoyùn	3560	五级
号召	动、名	hàozhào	3561	五级
合并	动	hébìng	3562	五级
合成	动	héchéng	3563	五级
盒	名、量	hé	3564	五级
盒饭	名	héfàn	3565	五级
盒子	名	hézi	3566	五级
贺卡	名	hèkǎ	3567	五级
恨	动	hèn	3568	五级
猴	名	hóu	3569	五级
后悔	动	hòuhuǐ	3570	五级
胡同儿	名	hútòngr	3571	五级
胡子	名	húzi	3572	五级
虎	名	hǔ	3573	五级
华语	名	Huáyǔ	3574	五级
滑	形、动	huá	3575	五级
化石	名	huàshí	3576	五级
划分	动	huàfēn	3577	五级
画面	名	huàmiàn	3578	五级
环节	名	huánjié	3579	五级
慌	形	huāng	3580	五级
慌忙	形	huāngmáng	3581	五级
灰色	名、形	huīsè	3582	五级
恢复	动	huīfù	3583	五级
回报	动	huíbào	3584	五级
回避	动	huíbì	3585	五级
回顾	动	huígù	3586	五级
回收	动	huíshōu	3587	五级
回头	副	huítóu	3588	五级
回信	名	huíxìn	3589	五级
回忆	动	huíyì	3590	五级
汇款		huì∥kuǎn	3591	五级
会谈	动、名	huìtán	3592	五级
活力	名	huólì	3593	五级
活泼	形	huó·pō	3594	五级
火柴	名	huǒchái	3595	五级
火腿	名	huǒtuǐ	3596	五级
火灾	名	huǒzāi	3597	五级
或是	连	huòshì	3598	五级
机器人	名	jī·qìrén	3599	五级
机制	名	jīzhì	3600	五级
肌肉	名	jīròu	3601	五级
基地	名	jīdì	3602	五级
基金	名	jījīn	3603	五级
即使	连	jíshǐ	3604	五级
集团	名	jítuán	3605	五级
挤	动、形	jǐ	3606	五级
记忆	动、名	jìyì	3607	五级
技能	名	jìnéng	3608	五级
继承	动	jìchéng	3609	五级
加热		jiā∥rè	3610	五级
加上	连	jiāshàng	3611	五级
加速	动	jiāsù	3612	五级
加以	动、连	jiāyǐ	3613	五级
夹	动	jiā	3614	五级
甲	名	jiǎ	3615	五级
价	名	jià	3616	五级
驾驶	动	jiàshǐ	3617	五级
驾照	名	jiàzhào	3618	五级
坚定	形、动	jiāndìng	3619	五级
肩	名	jiān	3620	五级
艰苦	形	jiānkǔ	3621	五级
艰难	形	jiānnán	3622	五级
检验	动	jiǎnyàn	3623	五级
减轻	动	jiǎnqīng	3624	五级
剪	动	jiǎn	3625	五级
剪刀	名	jiǎndāo	3626	五级
剪子	名	jiǎnzi	3627	五级
间接	形	jiànjiē	3628	五级
建造	动	jiànzào	3629	五级
建筑	动、名	jiànzhù	3630	五级
健全	形、动	jiànquán	3631	五级
键	名	jiàn	3632	五级
键盘	名	jiànpán	3633	五级
将	副、介	jiāng	3634	五级
将要	副	jiāngyào	3635	五级
奖励	动、名	jiǎnglì	3636	五级
交代	动	jiāodài	3637	五级
郊区	名	jiāoqū	3638	五级
胶带	名	jiāodài	3639	五级
胶水	名	jiāoshuǐ	3640	五级
脚步	名	jiǎobù	3641	五级
接触	动	jiēchù	3642	五级
接连	副	jiēlián	3643	五级
解除	动	jiěchú	3644	五级
解放	动	jiěfàng	3645	五级
戒	动	jiè	3646	五级
届	量	jiè	3647	五级
今日	名	jīnrì	3648	五级
尽管	副、连	jǐnguǎn	3649	五级
紧紧		jǐnjǐn	3650	五级
尽可能		jìn kěnéng	3651	五级
进化	动	jìnhuà	3652	五级
近来	名	jìnlái	3653	五级
经费	名	jīngfèi	3654	五级
景象	名	jǐngxiàng	3655	五级
警告	动、名	jǐnggào	3656	五级
竞赛	动	jìngsài	3657	五级
竞争	动	jìngzhēng	3658	五级
酒鬼	名	jiǔguǐ	3659	五级
救灾		jiù∥zāi	3660	五级
居然	副	jūrán	3661	五级
局面	名	júmiàn	3662	五级
局长	名	júzhǎng	3663	五级
举动	名	jǔdòng	3664	五级
拒绝	动	jùjué	3665	五级
俱乐部	名	jùlèbù	3666	五级
剧本	名	jùběn	3667	五级
决不		jué bù	3668	五级
绝望		jué∥wàng	3669	五级
军人	名	jūnrén	3670	五级
开幕		kāi∥mù	3671	五级
开幕式	名	kāimùshì	3672	五级
看成		kànchéng	3673	五级
看出		kànchū	3674	五级
看待	动	kàndài	3675	五级
考核	动	kǎohé	3676	五级
烤肉	名	kǎoròu	3677	五级
烤鸭	名	kǎoyā	3678	五级
靠近	动	kàojìn	3679	五级
颗	量	kē	3680	五级
咳	动	ké	3681	五级
可	副、连	kě	3682	五级
可怜	形、动	kělián	3683	五级
可惜	形	kěxī	3684	五级
渴望	动	kěwàng	3685	五级
刻	动	kè	3686	五级
客户	名	kèhù	3687	五级
客气	形、动	kèqi	3688	五级
客厅	名	kètīng	3689	五级
课题	名	kètí	3690	五级
肯定	动、形	kěndìng	3691	五级
空中	名	kōngzhōng	3692	五级
控制	动	kòngzhì	3693	五级
口号	名	kǒuhào	3694	五级
库	名	kù	3695	五级
快活	形	kuàihuo	3696	五级
宽度	名	kuāndù	3697	五级
狂	形	kuáng	3698	五级
亏	动	kuī	3699	五级
困扰	动	kùnrǎo	3700	五级
落	动	là	3701	五级
来信	名	láixìn	3702	五级
烂	形	làn	3703	五级
朗读	动	lǎngdú	3704	五级
浪漫	形	làngmàn	3705	五级
劳动	动、名	láodòng	3706	五级
梨	名	lí	3707	五级
礼	名	lǐ	3708	五级
礼拜	名、动	lǐbài	3709	五级
礼貌	名、形	lǐmào	3710	五级
厉害	形	lìhai	3711	五级
立	动	lì	3712	五级
立场	名	lìchǎng	3713	五级
利润	名	lìrùn	3714	五级
例外	动、名	lìwài	3715	五级
连接	动	liánjiē	3716	五级
联络	动	liánluò	3717	五级
联想	动	liánxiǎng	3718	五级
脸盆	名	liǎnpén	3719	五级
脸色	名	liǎnsè	3720	五级
恋爱	动、名	liàn’ài	3721	五级
两岸	名	liǎng’àn	3722	五级
邻居	名	línjū	3723	五级
铃	名	líng	3724	五级
铃声	名	língshēng	3725	五级
领带	名	lǐngdài	3726	五级
令	动	lìng	3727	五级
流动	动	liúdòng	3728	五级
流通	动	liútōng	3729	五级
漏	动	lòu	3730	五级
漏洞	名	lòudòng	3731	五级
逻辑	名	luó·jí	3732	五级
落实	动	luòshí	3733	五级
码头	名	mǎ·tóu	3734	五级
骂	动	mà	3735	五级
买卖	名	mǎimai	3736	五级
漫长	形	màncháng	3737	五级
漫画	名	mànhuà	3738	五级
毛笔	名	máobǐ	3739	五级
矛盾	名、形	máodùn	3740	五级
冒	动	mào	3741	五级
贸易	名	màoyì	3742	五级
煤	名	méi	3743	五级
煤气	名	méiqì	3744	五级
门诊	动	ménzhěn	3745	五级
迷人	形	mírén	3746	五级
迷信	动、名	míxìn	3747	五级
面貌	名	miànmào	3748	五级
面子	名	miànzi	3749	五级
秒	量	miǎo	3750	五级
敏感	形	mǐngǎn	3751	五级
明亮	形	míngliàng	3752	五级
明明	副	míngmíng	3753	五级
命令	名、动	mìnglìng	3754	五级
模范	名	mófàn	3755	五级
模仿	动	mófǎng	3756	五级
模糊	形	móhu	3757	五级
模式	名	móshì	3758	五级
摩擦	动、名	mócā	3759	五级
摩托	名	mótuō	3760	五级
模样	名	múyàng	3761	五级
目光	名	mùguāng	3762	五级
耐心	形、名	nàixīn	3763	五级
男性	名	nánxìng	3764	五级
南北	名	nánběi	3765	五级
南极	名	nánjí	3766	五级
难得	形	nándé	3767	五级
难以	动	nányǐ	3768	五级
脑子	名	nǎozi	3769	五级
内在	形	nèizài	3770	五级
能量	名	néngliàng	3771	五级
年度	名	niándù	3772	五级
年龄	名	niánlíng	3773	五级
年前	名	niánqián	3774	五级
牛	形	niú	3775	五级
牛仔裤	名	niúzǎikù	3776	五级
农产品	名	nóngchǎnpǐn	3777	五级
女性	名	nǚxìng	3778	五级
暖	形、动	nuǎn	3779	五级
偶尔	副	ǒu’ěr	3780	五级
偶然	形	ǒurán	3781	五级
偶像	名	ǒuxiàng	3782	五级
拍摄	动	pāishè	3783	五级
排除	动	páichú	3784	五级
旁	名、代	páng	3785	五级
陪	动	péi	3786	五级
赔	动	péi	3787	五级
赔偿	动	péicháng	3788	五级
配备	动	pèibèi	3789	五级
配套		pèi∥tào	3790	五级
喷	动	pēn	3791	五级
盆	名	pén	3792	五级
披	动	pī	3793	五级
皮肤	名	pífū	3794	五级
皮鞋	名	píxié	3795	五级
脾气	名	píqi	3796	五级
匹	量	pǐ	3797	五级
骗	动	piàn	3798	五级
骗子	名	piànzi	3799	五级
拼	动	pīn	3800	五级
频道	名	píndào	3801	五级
频繁	形	pínfán	3802	五级
品	动	pǐn	3803	五级
品（工艺品）	后缀	pǐn (gōngyìpǐn)	3804	五级
品种	名	pǐnzhǒng	3805	五级
平坦	形	píngtǎn	3806	五级
平原	名	píngyuán	3807	五级
评估	动、名	pínggū	3808	五级
评论	动、名	pínglùn	3809	五级
凭	动、介	píng	3810	五级
泼	动	pō	3811	五级
葡萄	名	pútao	3812	五级
葡萄酒	名	pútaojiǔ	3813	五级
期望	动	qīwàng	3814	五级
齐全	形	qíquán	3815	五级
其	代	qí	3816	五级
启动	动	qǐdòng	3817	五级
启发	动、名	qǐfā	3818	五级
启事	名	qǐshì	3819	五级
起到		qǐdào	3820	五级
起码	形	qǐmǎ	3821	五级
气体	名	qìtǐ	3822	五级
气象	名	qìxiàng	3823	五级
签	动	qiān	3824	五级
签订	动	qiāndìng	3825	五级
签名		qiān∥míng	3826	五级
签约		qiān∥yuē	3827	五级
签证	动、名	qiānzhèng	3828	五级
签字		qiān∥zì	3829	五级
前景	名	qiánjǐng	3830	五级
前提	名	qiántí	3831	五级
欠	动	qiàn	3832	五级
枪	名	qiāng	3833	五级
强度	名	qiángdù	3834	五级
墙壁	名	qiángbì	3835	五级
抢	动	qiǎng	3836	五级
抢救	动	qiǎngjiù	3837	五级
