# 《国际中文教育中文水平等级标准》1-9级
# 20210324-GF 0025-2021《国际中文教育中文水平等级标准》.pdf
# https://github.com/shawkynasr/HSK-official-Query-System
# https://github.com/dawei7/new_hsk_scraping
# https://pandarin.net/new-hsk/
# http://www.davidpetersson.com/hsk-the-complete-hanban-lists-with-english-definitions/
# https://github.com/gigacool/hanyu-shuiping-kaoshi/blob/master/hsk.csv
#
# 备注，主要区别：
# - 称1（chèn）/称2（chēng）
# - 面1（脸面，方面）/面2（面条，繁体“麵、麪”）
#
# 词语	词性	拼音	序号	级别

没	副、动	méi	232	一级
没关系		méi guānxi	233	一级
没什么		méi shénme	234	一级
没事儿		méi∥shìr	235	一级
没有	动、副	méi·yǒu	236	一级
妹妹∣妹	名	mèimei∣mèi	237	一级
门	名、量	mén	238	一级
门口	名	ménkǒu	239	一级
门票	名	ménpiào	240	一级
们（朋友们）	后缀	men （péngyoumen）	241	一级
米饭	名	mǐfàn	242	一级
面包	名	miànbāo	243	一级
面条儿	名	miàntiáor	244	一级
名字	名	míngzi	245	一级
明白	形、动	míngbai	246	一级
明年	名	míngnián	247	一级
明天	名	míngtiān	248	一级
拿	动	ná	249	一级
哪	代	nǎ	250	一级
哪里	代	nǎ·lǐ	251	一级
哪儿	代	nǎr	252	一级
哪些	代	nǎxiē	253	一级
那	代	nà	254	一级
那边	代	nàbiān	255	一级
那里	代	nà·lǐ	256	一级
那儿	代	nàr	257	一级
那些	代	nàxiē	258	一级
奶	名	nǎi	259	一级
奶奶	名	nǎinai	260	一级
男	形	nán	261	一级
男孩儿	名	nánháir	262	一级
男朋友	名	nánpéngyou	263	一级
男人	名	nánrén	264	一级
男生	名	nánshēng	265	一级
南	名	nán	266	一级
南边	名	nánbian	267	一级
难	形	nán	268	一级
呢	助	ne	269	一级
能	动	néng	270	一级
你	代	nǐ	271	一级
你们	代	nǐmen	272	一级
年	量	nián	273	一级
您	代	nín	274	一级
牛奶	名	niúnǎi	275	一级
女	形	nǚ	276	一级
女儿	名	nǚ’ér	277	一级
女孩儿	名	nǚháir	278	一级
女朋友	名	nǚpéngyou	279	一级
女人	名	nǚrén	280	一级
女生	名	nǚshēng	281	一级
旁边	名	pángbiān	282	一级
跑	动	pǎo	283	一级
朋友	名	péngyou	284	一级
票	名	piào	285	一级
七	数	qī	286	一级
起	动	qǐ	287	一级
起床		qǐ∥chuáng	288	一级
起来		qǐ∥·lái	289	一级
汽车	名	qìchē	290	一级
前	名	qián	291	一级
前边	名	qiánbian	292	一级
前天	名	qiántiān	293	一级
钱	名	qián	294	一级
钱包	名	qiánbāo	295	一级
请	动	qǐng	296	一级
请假		qǐng∥jià	297	一级
请进		qǐng jìn	298	一级
请问	动	qǐngwèn	299	一级
请坐		qǐng zuò	300	一级
球	名	qiú	301	一级
去	动	qù	302	一级
去年	名	qùnián	303	一级
热	形、动	rè	304	一级
人	名	rén	305	一级
认识	动、名	rènshi	306	一级
认真	形	rènzhēn	307	一级
日	名	rì	308	一级
日期	名	rìqī	309	一级
肉	名	ròu	310	一级
三	数	sān	311	一级
山	名	shān	312	一级
商场	名	shāngchǎng	313	一级
商店	名	shāngdiàn	314	一级
上	名、动	shàng	315	一级
上班		shàng∥bān	316	一级
上边	名	shàngbian	317	一级
上车		shàng chē	318	一级
上次		shàng cì	319	一级
上课		shàng∥kè	320	一级
上网		shàng∥wǎng	321	一级
上午	名	shàngwǔ	322	一级
上学		shàng∥xué	323	一级
少	形、动	shǎo	324	一级
谁	代	shéi/shuí	325	一级
身上	名	shēnshang	326	一级
身体	名	shēntǐ	327	一级
什么	代	shénme	328	一级
生病		shēng∥bìng	329	一级
生气		shēng∥qì	330	一级
生日	名	shēngrì	331	一级
十	数	shí	332	一级
时候	名	shíhou	333	一级
